tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
32,4,16,8,64,1,64,2,256,2,587.8692016601562,True,0
4,16,256,1024,8,4,64,2,256,1024,102.9775390625,True,4408
8,16,16,128,256,8,1,8,256,16,2147483648.0,False,18278
4,8,16,1024,16,64,128,2,1024,16,17.260543823242188,True,21116
8,16,16,512,8,64,1,4,256,32,7.659520149230957,True,23271
8,4,16,4,128,2,1,512,8,512,182.76351928710935,True,28204
4,2,32,4,4,2,32,16,256,256,41.28665542602539,True,29612
8,4,128,8,16,32,1,4,8,16,68.44108581542969,True,33110
8,16,128,8,32,2,128,1,512,16,102.96012878417967,True,40543
32,8,128,16,32,8,4,16,4,1024,38.21875381469727,True,42522
64,32,32,16,256,8,16,1,128,32,2147483648.0,False,54584
16,4,4,128,64,64,8,1,16,2,621.048828125,True,56622
16,4,32,8,64,16,8,4,1024,16,8.663040161132812,True,58855
4,16,16,16,256,2,1,1,2,16,2147483648.0,False,73462
128,8,32,1024,128,32,4,16,4,32,2695.970703125,True,81050
16,1,32,256,64,16,1,4,64,8,103.92985534667967,True,85505
8,64,64,16,16,128,2,8,256,128,50.39104080200195,True,89846
64,4,16,8,256,8,1,128,1024,128,2147483648.0,False,101225
32,2,64,1024,64,64,512,1,512,32,2147483648.0,False,113727
64,128,128,256,64,2,16,1,128,2,2147483648.0,False,131797
32,32,128,64,64,4,4,2,512,4,2147483648.0,False,143889
4,2,16,8,32,2,2,32,2,128,277.676025390625,True,145300
4,8,16,16,32,4,1,1,32,1024,28.14668846130371,True,149141
8,1,16,32,16,32,2,512,4,1024,106.32294464111328,True,150200
4,1,4,32,16,32,1,1,64,256,15.668224334716797,True,153299
16,2,4,8,128,16,1,8,64,16,169.4003143310547,True,155557
8,16,256,256,16,4,32,8,1024,1024,26.1345272064209,True,157689
32,1,16,256,128,64,8,4,1024,64,6.884352207183838,True,160010
4,256,256,8,16,1,256,1,256,128,2147483648.0,False,171538
32,1,4,4,64,8,8,16,512,512,5.668863773345947,True,174031
8,4,32,16,128,2,2,8,32,8,79.50745391845703,True,175997
128,4,32,4,256,4,8,2,1024,8,2147483648.0,False,188306
4,16,32,256,64,64,1,1,1,64,2147483648.0,False,200708
4,2,16,8,4,8,2,32,4,256,116.25574493408205,True,201805
16,64,256,512,32,2,32,1,128,512,2147483648.0,False,215908
16,32,32,64,128,8,16,16,32,1024,90.9271011352539,True,220081
128,16,16,4,128,64,16,8,128,16,2147483648.0,False,232103
4,1,16,4,16,2,16,4,64,256,14.932991981506348,True,234513
256,1,16,32,256,4,8,1,32,1,2147483648.0,False,249966
32,1,32,16,128,16,4,64,128,512,4.374527931213379,True,251771
64,1,8,8,1024,1,1,32,16,32,2147483648.0,False,263262
4,1,256,256,4,16,2,16,8,64,50.125823974609375,True,265184
4,1,8,16,8,32,2,16,4,64,111.07430267333984,True,266439
4,4,128,256,16,32,2,32,1024,128,1.703935980796814,True,268511
8,16,32,512,64,64,8,8,32,64,6.309887886047363,True,270684
32,64,64,32,32,1,1,32,4,32,2147483648.0,False,282701
16,16,128,8,16,32,32,8,256,32,31.310848236083984,True,284325
8,4,4,32,32,128,32,4,64,1024,3.4160640239715576,True,286099
16,4,8,16,16,16,128,1,256,1,3010.2333984375,True,290562
16,64,128,1024,16,32,4,32,64,128,142.2161865234375,True,295272
4,8,16,16,16,2,1,16,1024,16,53.07187271118164,True,297005
4,4,64,32,32,16,2,512,4,512,81.58719635009766,True,298453
4,8,8,16,32,64,1,32,64,512,14.36569595336914,True,301775
8,2,4,4,64,128,16,8,128,8,102.64064025878906,True,303089
8,64,64,4,16,64,1,32,2,1024,484.1257019042969,True,314372
