tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,16,64,4,32,1,4,4,64,16,47.26374435424805,546351
8,2,128,4,32,8,2,4,4,8,301.1338195800781,551319
4,4,32,1024,16,64,8,128,32,128,61.69599914550781,552662
4,512,1024,1024,4,2,16,16,256,256,2147483648.0,565579
4,2,32,8,32,8,16,1,16,16,178.7914276123047,567726
4,4,16,8,512,2,2,1,8,1,2147483648.0,582861
4,16,16,64,4,16,4,4,16,128,34.89382553100586,584240
16,256,256,128,16,1,2,1,32,16,2147483648.0,598977
4,1,8,4,16,2,1,128,32,512,45.50758361816406,600112
32,8,32,128,64,32,16,2,32,2,2099.61572265625,606538
32,16,32,64,64,64,4,128,16,512,500.2813415527344,611433
64,4,128,256,64,4,1,2,256,256,2147483648.0,625651
256,2,32,8,256,4,8,64,32,128,213.15174865722656,628973
4,8,8,4,4,64,2,2,16,16,260.70220947265625,630264
8,32,128,4,16,64,2,1,32,2,226.5937957763672,637719
4,2,64,4,8,128,4,256,1024,256,2.0736000537872314,639326
8,2,16,128,8,8,32,2,128,128,12.082176208496094,641654
4,4,64,256,32,32,2,16,4,32,51.03308868408203,642880
128,4,16,32,512,2,8,32,32,32,1490.8118896484375,648933
4,64,128,8,64,4,256,2,256,16,210.6071014404297,651399
16,32,32,4,64,8,128,2,128,16,1067.6910400390625,656878
16,8,32,32,256,4,8,2,1024,4,107.0571517944336,660152
32,8,32,16,128,32,16,2,64,1024,27.99001693725586,664648
16,2,4,8,128,32,4,1,16,4,155.74732971191406,666415
64,2,16,8,128,2,256,2,256,4,2369.0546875,673098
16,8,32,128,16,64,2,2,16,1024,12.996607780456545,675907
32,128,128,16,64,1,64,16,512,256,2147483648.0,689718
32,4,64,256,32,8,2,8,64,32,8.464384078979492,692187
32,2,8,8,32,32,1,4,32,128,3.636224031448364,693860
16,4,8,32,32,256,32,32,32,64,1634.58154296875,696952
8,16,16,16,128,1,4,2,512,512,136.6149139404297,701158
4,8,128,64,8,32,2,16,1024,512,1.5319039821624756,702806
4,4,8,8,512,2,256,4,1024,16,158.36773681640625,704130
16,32,128,128,32,32,2,64,64,512,58.95270538330078,708516
64,64,64,32,64,2,4,1,64,128,2147483648.0,722460
64,1,8,4,64,128,8,1,512,512,18.23744010925293,728556
16,64,256,4,32,8,512,2,1024,8,2147483648.0,740725
64,8,64,4,64,32,2,16,32,16,188.61056518554688,743468
8,2,64,16,8,1,2,2,4,512,176.2539520263672,745479
8,8,8,8,512,4,32,1,256,16,46.82547378540039,747355
8,32,32,64,32,128,8,8,16,1024,19.751935958862305,750997
8,32,128,128,64,4,4,4,1024,8,29.79840087890625,754311
64,32,64,8,128,4,2,64,4,1024,2147483648.0,766400
16,2,4,1024,16,512,32,1,1024,4,62.73843383789063,767783
8,16,16,64,64,32,256,1,1024,128,9.70854377746582,770036
4,16,32,32,8,128,4,16,32,16,104.06707000732422,771611
8,1,128,4,32,1,2,1,4,32,2147483648.0,784884
4,512,512,256,16,2,1,2,2,256,2147483648.0,805729
64,16,32,256,128,8,8,4,128,256,2147483648.0,817018
16,16,16,8,32,128,8,8,512,8,77.84960174560547,819168
