tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,32,32,4,32,32,16,8,256,128,311.4823608398437,0
8,32,64,128,128,16,8,2,64,128,9.533439636230469,4056
4,16,16,128,32,128,32,32,32,1024,36.72780990600586,5274
4,8,8,32,64,4,16,16,512,128,13.549568176269531,7450
8,32,256,16,16,8,1,2,8,4,2147483648.0,19630
4,4,4,8,16,128,8,16,128,128,11.795455932617188,21868
16,1,8,16,128,4,8,16,8,128,66.71257781982422,23713
32,8,64,4,64,8,64,4,256,1024,165.6135711669922,28468
4,2,16,512,4,64,64,1,128,8,726.8444213867188,30721
256,2,16,16,256,8,2,32,512,256,112.14643096923828,33820
32,16,32,64,256,2,32,8,256,1024,145.61279296875,38192
4,8,32,4,128,32,2,2,256,256,11.411456108093262,49278
8,8,8,16,16,256,2,256,16,1024,42.73664093017578,50606
8,8,128,8,8,8,4,2,32,32,118.81983947753906,53561
64,16,32,4,256,1,1,1,4,512,2147483648.0,70926
4,8,32,4,4,4,1,2,8,512,18.662399291992188,73953
16,1,64,64,32,64,1,64,32,64,4.639743804931641,76046
32,4,64,4,64,8,1,16,16,64,7.770112037658691,79003
4,1,128,32,8,4,8,16,1024,64,5.230591773986816,81182
16,1,4,8,16,512,4,4,256,512,6.029312133789063,82858
8,16,16,32,64,4,32,1,32,512,33.97324752807617,84467
128,4,8,4,512,1,2,1,256,2,2147483648.0,96739
64,1,8,16,512,8,64,2,256,1024,19.14368057250977,100792
4,16,512,64,16,1,32,8,512,32,115.47545623779295,103339
16,8,512,16,16,2,4,8,128,128,39.71072006225586,107705
16,1,8,32,128,64,64,4,128,1024,7.2775678634643555,109893
8,128,128,4,32,32,1,32,4,512,2147483648.0,123727
8,4,16,64,128,8,2,4,2,128,22.725631713867188,127707
4,64,64,256,4,32,1,4,64,128,99.56249237060548,130211
4,8,8,64,128,8,512,1,512,128,8.407039642333984,131966
16,16,128,8,32,1,128,1,128,16,2147483648.0,144070
4,2,16,4,4,64,32,1,512,1,1465.0859375,147234
16,8,128,512,32,4,256,2,512,512,413.3631896972656,158560
8,4,64,32,64,64,2,4,8,1024,11.725824356079102,163446
64,16,16,64,256,4,2,4,16,64,2147483648.0,175442
8,1,1024,1024,8,1,4,2,1024,512,2147483648.0,192564
8,16,32,32,8,4,4,128,32,512,120.60262298583984,194036
8,64,128,512,64,16,4,16,64,512,39.82438278198242,205064
16,64,256,256,32,1,8,2,8,4,2147483648.0,217085
16,4,8,4,16,16,8,32,128,64,62.44351959228516,218412
128,1,16,16,512,2,1,1024,1,1024,2519.83056640625,225301
4,2,4,4,32,2,2,512,1024,512,172.4241943359375,226780
32,1,64,32,32,64,8,2,64,1024,50.4719352722168,232204
4,1,4,4,512,8,128,4,256,16,24.887296676635746,233257
16,2,8,16,256,8,256,2,512,32,24.826879501342773,234671
16,64,256,32,32,8,64,2,64,8,2147483648.0,246702
4,64,128,16,8,64,8,1,256,4,55.583744049072266,250650
4,1,256,128,32,1,1,32,32,256,3.8942720890045166,253326
32,2,32,4,64,2,16,1,32,4,405.3667907714844,260609
4,256,256,8,4,32,128,4,512,16,1661.0294189453125,267589
4,4,64,16,16,64,8,64,16,512,6.635519981384277,269616
8,2,16,4,8,32,2,64,1024,1024,1.6486400365829468,271360
4,2,8,64,16,256,16,2,1024,128,3.063807964324951,272891
4,16,64,16,32,4,1,64,512,512,7.886847972869873,277874
32,8,32,16,128,8,16,8,64,256,43.670528411865234,280245
16,1,4,8,32,128,1,8,8,8,285.8424377441406,281784
32,16,16,32,128,2,1,128,2,512,2147483648.0,293975
256,8,8,4,512,4,8,32,128,256,2147483648.0,306070
64,2,8,4,128,8,16,64,512,512,47.21664047241211,307539
4,16,64,4,64,16,16,4,16,128,22.65292739868164,310368
4,32,512,64,16,1,64,1,1024,32,2147483648.0,322636
8,64,1024,64,8,1,1,8,512,128,31.869951248168945,332007
64,1,8,32,512,8,1,4,1024,128,141.3877716064453,341701
4,1,128,128,32,8,4,1,64,32,2147483648.0,353682
64,16,16,4,128,2,128,4,512,32,2147483648.0,364939
4,8,32,32,32,1,1,32,32,512,15.674367904663086,368723
8,4,8,16,16,64,8,16,16,128,70.97650909423828,370234
4,4,8,64,64,128,4,8,64,8,35.39558410644531,371731
4,16,16,8,8,16,256,4,512,4,4437.6513671875,377337
4,16,64,32,64,4,8,2,64,512,4.285439968109131,380241
8,32,64,8,8,128,1,16,32,64,72.31692504882812,382480
16,32,128,128,64,8,128,1,512,4,2147483648.0,394631
