tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
64,4,64,64,128,16,16,16,64,256,47.17055892944336,0
4,4,128,8,4,2,16,16,512,1024,7.7414398193359375,2382
4,1,4,64,64,32,2,4,4,4,600.521728515625,4729
128,1,32,16,128,16,8,64,64,128,43.78009414672852,6265
64,4,4,4,128,4,16,8,128,32,376.3179626464844,8955
4,32,128,32,16,2,128,4,128,8,1725.66015625,12248
8,2,32,16,128,16,4,2,256,4,84.97357177734375,16231
8,4,4,16,8,128,8,16,1024,16,24.000511169433597,19474
16,1,32,8,32,8,16,8,128,512,5.7333760261535645,22358
128,8,8,8,256,1,4,1,512,64,2147483648.0,33670
8,1,32,128,64,64,4,4,128,64,2.000895977020264,35989
8,16,64,4,16,128,4,8,1024,512,4.35814380645752,38019
16,8,256,256,16,16,1,2,16,1024,2147483648.0,50234
4,16,64,512,32,8,32,16,64,32,130.58560180664062,51571
32,4,64,64,64,64,4,2,4,16,94.80601501464844,62079
4,4,16,64,128,64,16,2,256,256,0.9758719801902772,63786
8,4,8,8,128,2,4,4,16,512,20.71654319763184,67025
4,2,8,8,512,4,32,1,256,16,49.86982345581055,68684
4,4,64,8,64,4,4,2,64,512,17.01785659790039,75508
8,64,128,256,32,16,2,4,32,512,2147483648.0,86821
16,128,256,32,32,4,1,1,2,4,2147483648.0,104914
8,4,8,4,64,2,16,2,16,16,189.2413482666016,106499
4,4,256,512,4,4,4,2,128,1024,29.6232967376709,110304
4,1,32,32,256,4,1,2,512,8,2147483648.0,126347
32,8,32,256,64,8,2,16,16,512,14.379008293151855,129741
16,16,32,64,256,2,64,8,64,256,78.31858825683594,132300
8,2,16,16,128,4,16,1,128,32,31.56787109375,134055
8,1,256,4,32,1,2,32,256,64,2.5036799907684326,136003
8,32,512,8,16,4,512,2,512,4,2147483648.0,148381
4,128,256,32,8,16,4,4,512,64,47.25657653808594,152738
32,32,64,128,32,32,1,32,4,512,2147483648.0,163952
4,8,32,32,64,16,64,16,256,256,3.4396159648895264,165758
4,8,32,512,16,128,2,64,32,1024,2.085887908935547,167760
16,8,8,16,32,16,1,4,1,1024,26.640384674072266,170006
4,2,8,64,32,8,512,1,1024,2,449.3936767578125,171904
4,64,64,1024,8,64,8,4,64,256,31.757312774658203,174473
64,4,16,8,128,16,128,1,256,1,2038.935546875,184108
4,32,128,8,16,8,256,4,1024,256,94.6012191772461,185761
8,4,4,32,128,32,1,2,32,128,21.116928100585938,192040
32,2,32,8,64,64,2,2,16,4,193.4448699951172,195972
4,32,32,16,4,128,32,16,64,1024,113.44998168945312,197651
64,1,32,128,64,64,1,8,256,32,42.14476776123047,199649
256,4,32,32,256,1,8,8,256,128,111.62726593017578,204803
16,2,32,128,32,16,2,4,8,1024,5.058559894561768,207864
4,1,16,32,256,16,4,256,8,256,54.370304107666016,211658
8,8,8,32,8,8,1,256,4,1024,446.2653503417969,213269
8,8,32,4,16,4,128,1,512,128,49.83808135986328,215403
64,8,8,4,256,4,16,32,32,512,251.5773468017578,220032
4,1,4,8,32,8,16,64,64,512,33.163265228271484,221558
8,4,64,128,16,32,32,1,64,2,431.9620971679688,225900
32,1,4,32,128,8,1,32,256,64,156.07603454589844,227779
8,2,8,128,16,64,128,1,128,16,271.8658447265625,229406
16,64,128,512,64,8,1,64,128,512,2147483648.0,243141
8,4,4,4,32,128,32,16,256,1024,5.864448070526123,245178
8,64,64,32,8,16,2,2,256,32,90.7540512084961,248017
8,1,256,32,16,4,16,8,128,512,31.097856521606445,250947
4,64,128,256,16,2,64,1,1024,256,53.357566833496094,254870
4,2,32,256,128,8,8,8,256,32,2.03059196472168,256902
32,32,32,8,256,8,8,8,1024,64,2147483648.0,268131
8,128,512,16,8,1,1,8,1024,128,2147483648.0,279425
8,32,64,1024,16,16,8,2,256,32,25.25491142272949,281829
32,16,64,4,32,64,8,1,16,32,2147483648.0,294004
4,2,128,64,32,16,2,16,2,64,34.31731033325195,295883
8,2,8,256,256,32,4,64,8,512,26.09459114074707,297385
8,2,32,64,8,64,8,2,64,1024,10.919936180114746,300013
4,2,32,16,16,32,32,16,512,256,3.106816053390503,301607
4,128,128,64,32,1,4,32,16,128,2147483648.0,312966
64,2,8,4,128,32,16,16,256,64,12.643327713012695,315663
16,4,4,8,256,32,4,16,1024,16,238.7169342041016,318188
4,4,32,64,16,4,1,16,1024,32,10.684415817260742,320350
8,64,64,64,64,16,8,2,128,2,165.49171447753906,324851
16,8,32,32,128,1,2,128,256,1024,88.67533111572266,329364
8,8,8,8,512,2,2,1,1024,4,2147483648.0,341683
128,2,4,8,512,2,4,4,512,16,834.64501953125,345287
4,1,32,128,8,64,512,2,512,512,90.90048217773438,346903
8,1,32,128,8,32,64,8,64,1024,45.96940612792969,348097
4,64,128,64,4,8,16,16,32,512,235.2015380859375,350384
4,16,16,4,8,128,8,1,256,64,12.84812831878662,353046
128,4,32,256,256,8,1,2,2,512,2147483648.0,367277
4,4,8,8,128,8,1,256,8,256,262.74713134765625,373685
4,1,16,8,8,8,2,4,512,128,1.4960639476776123,375781
8,2,64,16,32,8,64,8,256,8,114.50879669189452,377465
8,1,64,128,32,2,32,8,128,1024,37.69036865234375,378854
8,256,256,64,16,8,16,4,256,128,2147483648.0,391128
4,16,32,8,16,64,1,1,4,32,96.932861328125,394902
128,4,64,256,128,4,128,1,1024,128,2147483648.0,413683
8,1,4,8,8,64,2,512,16,512,202.65267944335935,415051
16,1,4,16,512,8,2,16,16,1024,14.912511825561523,419147
32,32,64,8,64,1,2,2,1024,32,60.849151611328125,428087
8,1,32,8,8,128,16,64,16,256,141.41644287109375,429369
8,1,32,16,64,8,512,2,512,128,34.125823974609375,431601
4,2,4,16,128,64,16,2,64,4,84.748291015625,433134
16,2,64,16,16,8,8,32,128,256,2.5241599082946777,435166
4,256,256,128,32,8,32,2,128,32,328.2411499023437,446601
16,1,8,8,512,8,2,32,16,256,44.29721450805664,449384
8,2,16,512,16,32,32,2,32,16,204.64230346679688,451075
16,16,32,128,128,8,64,16,1024,16,193.5912933349609,453697
32,4,16,64,32,16,1,16,512,512,3.675136089324951,456022
64,4,32,4,128,32,4,8,256,32,55.02668762207031,458199
32,1,8,4,512,8,4,128,512,1024,30.51212882995605,459727
8,2,64,4,8,64,4,128,512,512,1.3178880214691162,461308
32,4,4,128,32,256,2,8,64,512,7.157760143280029,463378
16,4,4,8,16,256,1,8,8,16,240.54681396484372,464957
4,128,128,8,32,2,16,2,512,256,85.2674560546875,469755
32,2,32,512,32,16,2,2,8,4,740.8650512695312,472929
8,1,8,128,8,64,2,1,64,128,11.537407875061035,475222
16,128,256,64,16,16,32,1,32,4,2147483648.0,489351
8,16,64,512,16,64,4,8,64,128,1.4909440279006958,491666
32,4,8,8,1024,2,4,4,4,256,37.36883163452149,502189
