A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,0,1,1,0,1,0,2,2,1,0,1,1,1,1,1,1,1000,500,2,1,1,1,2048,1,8,1,2,128,279552,True,1225
1,1,0,1,0,0,1,2,0,2,1,1,1,1,1,1,1,1000,10,10,2,5,1,2048,1,1,1,2048,1,2978816,True,2242
1,0,1,1,0,0,2,1,2,1,0,1,1,1,1,1,1,1000,100,2,5,1,1,2048,1,2,1,4,256,587776,True,3815
0,1,0,0,0,2,0,1,2,1,0,1,1,1,1,1,1,1000,50,1,2,5,2,2048,1,16,1,16,8,491520,True,4908
0,0,0,1,1,0,2,1,0,1,2,1,1,1,1,1,1,1000,20,2,5,1,5,2048,1,256,1,8,1,483328,True,5623
1,1,0,0,0,2,1,0,0,1,2,1,1,1,1,1,1,1000,200,5,1,1,1,2048,1,2,1,512,2,595968,True,6699
1,0,0,1,0,1,0,2,2,1,0,1,1,1,1,1,1,1000,4,10,5,5,1,2048,1,256,1,2,4,3177472,True,7468
0,0,1,0,1,2,1,0,2,0,1,1,1,1,1,1,1,1000,100,5,2,1,1,2048,1,32,1,1,64,322560,True,8277
0,0,0,1,1,2,1,0,0,1,2,1,1,1,1,1,1,1000,100,5,2,1,1,2048,1,512,1,4,1,438272,True,9134
1,1,0,0,0,2,1,0,0,2,1,1,1,1,1,1,1,1000,125,2,1,1,4,2048,1,256,1,4,2,400384,True,9871
0,1,0,1,0,0,1,2,2,1,0,1,1,1,1,1,1,1000,125,4,2,1,1,2048,1,256,1,2,4,301056,True,10671
0,1,0,0,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,200,1,1,1,5,2048,1,128,1,16,1,204800,True,11341
1,0,0,0,1,0,1,2,1,2,0,1,1,1,1,1,1,1000,40,1,25,1,1,2048,1,2048,1,1,1,130048,True,12316
1,1,0,1,0,0,2,1,1,2,0,1,1,1,1,1,1,1000,2,10,25,1,2,2048,1,4,1,64,8,998400,True,13534
1,0,0,0,0,0,1,2,1,0,2,1,1,1,1,1,1,1000,8,1,125,1,1,2048,1,64,1,4,8,51200,True,14666
1,0,0,1,0,2,1,0,0,1,2,1,1,1,1,1,1,1000,125,8,1,1,1,2048,1,4,1,8,64,509952,True,15683
1,0,0,1,1,1,0,2,1,2,0,1,1,1,1,1,1,1000,2,5,20,1,5,2048,1,1,1,8,256,1001472,True,16984
1,1,1,1,1,1,0,2,2,1,0,1,1,1,1,1,1,1000,10,1,20,1,5,2048,1,4,1,8,64,9223372036854775807,False,17872
1,0,0,1,1,1,0,2,2,0,1,1,1,1,1,1,1,1000,10,50,1,1,2,2048,1,128,1,16,1,4999168,True,19001
1,0,0,0,1,2,0,1,1,2,0,1,1,1,1,1,1,1000,4,125,2,1,1,2048,1,2,1,8,128,6576128,True,20319
1,0,1,1,1,2,1,0,2,1,0,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,256,1,2,4,139264,True,21179
1,0,0,0,1,1,2,0,0,1,2,1,1,1,1,1,1,1000,1000,1,1,1,1,2048,1,16,1,16,8,139264,True,23039
0,0,1,1,0,0,2,1,1,0,2,1,1,1,1,1,1,1000,1,250,2,2,1,2048,1,1,1,256,8,21402624,True,24214
1,1,0,1,1,1,2,0,1,0,2,1,1,1,1,1,1,1000,1,1000,1,1,1,2048,1,1024,1,1,2,62442496,True,25552
