tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,4,16,16,16,2,2,1,512,4,30.35340881347656,0
64,2,16,64,64,16,8,2,1024,2,354.1401672363281,3504
4,8,64,32,16,1,8,1,256,1024,126.2039031982422,5964
8,4,128,64,64,16,64,1,1024,1,58.371070861816406,13330
4,4,16,32,4,4,2,1,512,4,14.27558422088623,16385
16,4,16,16,64,2,2,1,512,4,57.41670227050781,20706
8,4,16,16,8,2,2,1,512,4,25.465856552124023,24103
8,4,16,64,16,32,2,1,512,4,15.878144264221191,26982
8,4,32,32,8,2,8,1,32,1,1314.988037109375,31067
4,1,4,256,4,128,8,1,32,4,1484.8399658203125,33893
16,1,4,16,1024,4,1,2,1,16,2147483648.0,46866
16,4,256,64,16,1,512,2,1024,128,1223.9677734375,57206
4,4,16,8,4,4,1,1,2,4,2002.6982421875,60889
4,4,16,32,4,4,1,1,16,4,160.95948791503906,62422
4,4,16,32,4,4,2,4,512,128,3.6372480392456055,64300
4,4,16,64,4,4,2,1,512,4,13.850624084472656,67203
4,4,64,32,4,2,2,4,512,128,2.998271942138672,69522
4,4,16,64,4,32,2,4,512,128,3.383296012878418,72430
4,4,16,8,4,1,2,4,512,128,5.1025919914245605,74949
4,4,16,32,4,4,32,2,256,128,12.419072151184082,77508
4,4,64,8,4,2,2,4,512,128,2.026495933532715,80032
4,4,64,32,4,2,4,8,512,8,18.496511459350582,83448
4,4,64,64,4,2,2,4,512,128,3.057663917541504,85551
4,4,64,4,4,2,2,4,512,128,3.7898240089416495,88103
4,4,64,8,4,2,512,2,512,128,743.066650390625,90628
8,4,64,8,16,2,2,4,512,128,1.5247360467910769,93208
4,4,64,16,4,2,2,4,512,128,2.5466880798339844,95957
4,4,64,32,4,2,1,4,16,512,13.801471710205078,98822
8,4,64,8,16,2,1,4,4,128,28.656639099121094,101509
8,4,64,8,16,2,2,2,512,8,7.602176189422607,104447
8,4,64,64,16,2,2,4,512,128,1.8391040563583372,106665
16,16,64,8,128,2,2,4,512,128,27.487232208251957,115830
8,4,64,8,16,2,2,2,512,128,3.917824029922485,119151
8,2,64,8,16,2,2,4,512,128,1.4796799421310425,121720
8,4,64,128,16,2,64,1,512,128,47.21152114868164,125470
8,4,16,4,32,2,1,2,2,8,322.3613586425781,128273
8,1,16,4,32,2,2,4,512,128,1.9077119827270508,130293
8,2,64,64,8,2,2,2,512,4,13.427712440490724,133571
4,2,64,4,8,2,2,4,512,128,3.201024055480957,135993
16,2,64,8,16,2,32,4,512,64,13.929471969604492,139667
8,2,64,8,16,2,2,1,512,2,54.66726303100586,143187
8,8,64,8,16,2,1,4,4,128,31.34771156311035,145334
8,2,64,8,16,4,128,2,512,128,54.002689361572266,148368
8,2,64,4,16,2,2,4,512,128,3.28601598739624,150732
4,2,128,4,8,2,1,16,512,512,1.090559959411621,152593
4,4,64,32,4,1,512,1,512,2,5511.97998046875,160451
8,2,8,128,256,32,2,8,2,32,180.7841339111328,163210
8,2,64,4,16,1,2,4,512,128,3.6515839099884033,165302
4,2,128,4,8,2,1,16,512,256,1.0751999616622925,167193
4,2,128,4,8,2,1,32,512,512,0.963584005832672,168889
4,1,128,4,8,4,2,8,512,512,1.7285120487213137,171076
4,4,128,4,8,2,1,16,512,512,0.9983999729156494,172898
4,2,128,4,8,2,1,32,512,512,0.9850879907608032,174456
4,2,64,4,8,2,1,32,512,512,1.0516480207443235,175953
4,2,128,4,8,2,1,32,512,512,0.9625599980354308,177420
8,2,128,4,8,2,1,8,512,512,1.798143982887268,179468
4,2,64,4,8,2,1,32,256,512,1.0219520330429075,181112
4,4,128,4,8,2,1,64,256,1024,1.371135950088501,183057
4,2,128,4,8,2,1,32,512,512,0.9676799774169922,184430
4,2,128,4,8,4,1,32,512,512,0.7567359805107117,185797
4,2,128,4,8,4,1,32,512,512,0.7649279832839966,187615
4,2,128,4,8,4,2,32,512,1024,0.6983680129051208,189543
4,1,128,4,8,4,2,32,512,512,0.6952959895133972,191149
4,4,128,8,8,4,2,32,512,512,0.7383040189743042,192946
4,1,128,4,4,4,1,32,512,512,0.92467200756073,194948
4,1,128,4,8,4,2,64,512,512,0.7833600044250488,196683
4,1,128,4,8,4,8,16,512,512,5.697535991668701,198592
4,1,128,4,8,4,1,32,512,512,0.7260159850120544,200148
4,1,128,4,8,8,2,32,512,512,0.6737920045852661,201858
4,1,128,4,4,16,2,32,512,512,1.0547200441360474,203714
8,1,32,4,16,4,2,32,512,512,1.0588159561157229,205297
4,1,128,4,8,4,2,32,256,512,0.5580800175666809,206846
