tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,32,1024,512,4,4,2,4,32,16,356.9059753417969,0
4,4,512,64,4,16,16,4,64,4,449.3885498046875,4840
8,4,128,16,64,1,256,2,256,1024,605.613037109375,9962
8,32,128,256,8,32,32,2,256,64,208.0931854248047,12667
4,4,8,8,64,1,2,16,2,64,824.2616577148438,15036
64,16,32,4,256,4,512,1,1024,1024,2147483648.0,27231
32,8,128,8,32,4,1,4,1,4,2147483648.0,38596
4,4,16,64,4,4,16,8,32,512,29.792255401611328,39820
4,128,128,4,16,16,1,1,16,1024,2147483648.0,52379
4,4,1024,16,4,4,2,1,32,256,2147483648.0,68183
4,8,8,1024,16,256,8,4,8,8,668.621826171875,70314
4,1,8,8,4,1,4,2,16,4,3075.42626953125,74744
64,8,16,128,128,32,4,2,64,16,64.83660888671875,79358
8,4,16,32,8,128,4,64,16,128,84.84352111816406,80516
64,32,64,64,64,32,1,1,2,2,2147483648.0,94416
4,128,1024,4,4,4,1024,1,1024,32,2147483648.0,109110
4,8,16,64,4,4,8,16,32,512,41.30918502807617,110540
8,4,16,32,8,2,32,8,32,1024,55.195648193359375,111933
8,4,32,64,8,2,16,8,32,256,26.403839111328125,113566
8,4,16,32,8,2,16,8,32,1024,29.36832046508789,114673
8,4,16,32,8,2,32,8,64,256,55.32160186767578,115902
4,4,32,64,4,2,16,8,32,256,48.18124771118164,117088
4,4,32,64,4,2,16,8,32,256,48.17715072631836,118191
8,4,32,64,8,2,8,16,16,128,143.15213012695312,119402
16,2,32,128,16,32,1,16,64,16,7.915520191192627,121384
16,1,16,4,512,1,1,1,256,8,2147483648.0,141926
16,128,128,8,16,1,256,4,256,1024,2147483648.0,154127
8,4,32,64,8,2,8,16,32,256,36.04377746582031,155810
32,1,4,32,512,16,1,1,1,1,2147483648.0,168675
16,2,32,128,16,32,1,16,64,16,7.915520191192627,170659
16,2,32,128,16,32,1,16,64,16,7.915520191192627,172882
16,2,32,128,16,64,1,16,64,16,6.783999919891357,175501
16,4,32,128,16,64,1,16,64,16,8.49510383605957,177969
16,2,32,128,16,32,16,16,64,16,94.51213073730467,179716
32,1,16,128,32,64,1,16,64,16,18.147327423095703,182171
8,2,32,8,16,64,1,16,64,16,7.773183822631836,184573
32,2,16,64,128,32,2,2,8,8,204.9535980224609,188492
8,2,32,128,16,64,1,16,64,16,7.302144050598144,190783
16,2,64,128,16,64,1,16,64,16,6.553599834442139,192926
16,32,32,128,16,64,16,8,64,16,2333.470703125,198244
16,64,64,128,16,64,1,16,64,16,2147483648.0,209521
16,2,64,128,16,64,1,32,64,32,3.992575883865357,212090
16,2,64,512,16,64,1,16,64,16,8.178688049316406,214244
16,8,64,256,16,64,1,16,64,16,7.221248149871826,216960
16,2,64,128,16,64,1,2,64,2,110.2929916381836,220638
8,4,1024,128,8,1,1,2,64,32,2147483648.0,235211
4,2,64,128,16,64,1,32,64,32,4.441088199615479,237621
32,4,128,64,64,2,2,1,64,1,2147483648.0,251909
4,256,256,512,4,32,1,256,1,256,2147483648.0,263567
8,2,64,256,16,64,1,32,64,32,4.911104202270508,266060
16,2,64,128,16,128,1,32,2,32,125.4840316772461,267811
16,2,64,128,16,64,1,8,64,32,3.171328067779541,269713
16,1,64,128,16,64,1,16,64,32,4.041728019714356,271590
32,1,64,128,64,32,1,4,64,16,73.01734161376953,281257
4,4,1024,128,4,4,1,4,64,8,2147483648.0,292770
16,2,64,128,16,64,1,8,64,32,3.1703040599823,295170
8,4,256,128,8,16,1,8,64,32,5.60537576675415,298733
16,2,64,128,16,64,1,8,1024,32,4.896768093109131,301233
8,2,64,128,16,64,1,8,64,32,2.999295949935913,303237
16,2,64,16,16,64,1,8,64,32,2.828288078308105,305942
16,64,64,16,16,64,1,8,64,32,2147483648.0,317214
4,4,512,16,4,16,1,8,64,32,12.561408042907717,321343
32,2,64,16,32,32,1,8,64,32,12.346367835998535,325177
16,2,64,16,16,64,1,8,128,32,3.46726393699646,327301
4,2,64,16,16,64,1,8,64,32,2.964479923248291,330098
8,2,64,16,8,64,1,2,64,32,16.160768508911133,333804
8,4,256,16,8,16,1,8,64,32,5.16812801361084,336993
16,16,64,16,16,64,1,16,64,256,3.41811203956604,340882
16,2,64,1024,16,64,1,8,1,32,216.95692443847656,342537
16,2,64,16,16,32,1,8,64,32,2.8436479568481445,344508
16,1,64,16,16,64,1,8,64,32,3.068928003311157,346624
8,2,64,16,8,64,1,8,128,32,2.550784111022949,348932
8,2,32,16,8,128,1,16,128,256,1.7346559762954712,350684
8,2,64,16,8,64,1,8,128,32,2.5518081188201904,352360
8,2,64,1024,8,64,1,8,128,32,3.527679920196533,354260
8,2,64,16,8,64,1,8,128,32,2.5518081188201904,356092
