tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
8,2,16,8,64,2,8,8,256,1024,0.8857600092887878,True,320074
8,2,32,8,64,2,8,8,256,1024,0.6144000291824341,True,322156
4,2,8,8,64,4,8,8,256,1024,10.060799598693848,True,324729
8,2,32,8,64,2,8,8,128,1024,0.5990399718284607,True,327169
8,2,32,8,64,2,16,4,256,1024,43.88761520385742,True,331550
8,1,32,8,64,1,8,2,256,1024,1.4520319700241089,True,333869
8,4,32,16,128,2,8,4,256,1024,0.7485439777374268,True,336048
8,4,32,8,64,2,8,8,256,1024,0.6082559823989868,True,337845
8,4,64,8,32,2,8,8,128,1024,14.863360404968262,True,340660
32,4,128,32,32,16,1,8,2,512,88.57292938232422,True,343729
32,16,16,32,32,128,8,8,512,8,937.4658813476562,True,347061
16,8,128,4,64,16,2,128,256,1024,1.7151999473571775,True,349970
4,4,64,32,128,8,4,8,64,1024,1.1550719738006592,True,353412
8,1,4,4,64,4,8,8,256,1024,5.972991943359375,True,355343
8,2,32,8,64,2,8,8,256,1024,0.6082559823989868,True,357532
8,2,32,16,64,32,8,2,32,4,60.51532745361328,True,359132
8,2,32,64,64,2,8,8,256,1024,0.707584023475647,True,360788
16,4,32,8,64,2,8,8,256,1024,20.544511795043945,True,364564
8,2,32,8,32,1,8,4,256,1024,37.80403137207031,True,368486
8,2,32,16,64,2,8,8,256,1024,0.6430720090866089,True,370593
8,2,32,8,32,2,4,4,128,1024,0.8069120049476624,True,372791
8,1,32,8,64,2,8,8,256,1024,0.6103039979934692,True,374565
8,2,32,8,32,2,8,8,256,1024,18.62451171875,True,377645
8,2,32,8,64,2,8,8,256,1024,0.6072319746017456,True,380254
8,2,32,8,64,2,8,8,256,1024,0.6010879874229431,True,382285
32,8,32,4,128,2,2,4,32,16,47.13267135620117,True,388909
8,2,32,8,64,2,8,4,256,1024,0.7516160011291504,True,391189
8,2,32,8,64,4,8,4,128,1024,0.6021119952201843,True,393043
8,2,32,8,64,2,32,4,256,1024,65.728515625,True,394563
4,16,16,16,4,8,256,1,512,1,5860.33349609375,True,401587
4,2,32,4,64,2,8,8,256,1024,0.7628800272941589,True,403998
64,32,32,4,64,2,16,2,256,16,2147483648.0,False,416026
8,2,32,8,64,2,8,8,256,256,0.6123520135879517,True,417825
32,4,4,16,32,16,1,512,4,512,3653.452880859375,True,423275
128,1,64,64,128,8,2,2,8,16,2147483648.0,False,438476
8,4,4,128,8,256,1,1,4,4,1022.87255859375,True,440776
32,1,16,256,32,64,32,2,64,32,323.1856689453125,True,442864
8,2,32,8,64,2,8,8,256,1024,0.609279990196228,True,444629
8,2,32,8,64,1,8,8,256,1024,1.0506240129470823,True,446789
8,4,32,4,64,2,8,8,256,1024,0.7628800272941589,True,448583
16,2,32,8,64,1,8,8,256,1024,39.184383392333984,True,452476
8,16,32,32,32,8,32,8,256,16,34.67878341674805,True,456311
8,2,32,16,64,2,8,8,256,1024,0.6430720090866089,True,458102
8,2,16,8,64,8,8,16,512,1024,4.9049601554870605,True,460040
8,1,32,8,32,2,8,8,128,1024,10.944512367248535,True,462707
4,2,64,4,8,32,1,2,2,256,261.4947814941406,True,465710
8,2,32,8,64,2,16,2,256,16,17.638399124145508,True,468659
8,2,32,8,64,2,8,8,512,1024,0.6768640279769897,True,470189
64,2,32,16,64,64,32,2,256,4,624.5682983398438,True,475471
8,2,32,8,64,2,4,2,128,1024,1.8339840173721316,True,478461
8,2,32,4,64,1,8,4,256,1024,1.3127679824829102,True,480726
8,2,32,8,64,2,16,4,256,1024,43.89683151245117,True,484891
8,2,32,8,64,2,8,8,128,1024,0.5990399718284607,True,486805
4,4,64,16,16,16,4,4,32,128,2.870271921157837,True,489161
8,2,32,16,64,2,8,4,256,512,0.6133760213851929,True,490817
8,2,16,8,32,2,8,8,256,1024,14.439423561096191,True,493690
16,2,32,8,64,4,16,2,512,1024,21.50604820251465,True,497793
16,1,512,512,16,1,1,1,4,512,2147483648.0,False,507842
8,4,8,16,16,2,128,4,512,1024,31.097856521606445,True,511077
32,2,32,16,256,2,2,512,128,1024,96.0153579711914,True,513888
256,4,4,4,1024,2,64,16,256,1024,213.28179931640625,True,524509
8,1,32,8,32,2,8,4,256,1024,19.42630386352539,True,527872
8,2,32,8,64,2,4,8,256,1024,0.7423999905586243,True,529755
8,2,32,8,64,2,8,8,256,256,0.6041600108146667,True,531942
8,8,32,8,64,2,4,8,256,1024,13.106176376342772,True,534975
8,2,32,4,64,4,8,4,256,1024,0.9103360176086426,True,537010
8,2,32,8,64,2,8,8,256,1024,0.6031360030174255,True,538628
