tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
32,4,64,128,32,64,1,32,32,64,3.6833279132843018,True,390285
8,32,32,512,16,128,1,16,512,64,24.72038459777832,True,394558
8,4,16,4,64,8,1,2,8,64,87.7158432006836,True,399128
64,2,128,256,64,8,4,32,512,256,3.151871919631958,True,401560
4,1,32,32,128,1,4,2,16,1024,9.614336013793944,True,406080
4,2,8,4,4,4,4,256,8,1024,1002.3946533203124,True,408344
16,8,16,4,128,16,8,32,16,256,15.953920364379885,True,411208
4,2,32,16,64,64,128,1,512,512,9.827327728271484,True,414016
16,4,8,256,256,32,2,16,8,512,7.6472320556640625,True,418955
32,8,32,8,128,2,4,2,4,2,1363.883056640625,True,423350
256,4,8,4,256,16,16,4,32,64,457.46484375,True,429113
4,16,128,64,8,4,64,1,512,16,48.4956169128418,True,433091
64,2,8,4,64,2,2,32,128,64,53.68217468261719,True,434650
4,4,16,1024,4,64,4,8,256,512,2.780159950256348,True,436663
16,32,32,32,32,16,64,4,128,8,3299.357666015625,True,444434
4,4,32,512,16,128,4,8,8,64,11.256832122802734,True,446645
32,8,16,8,32,4,1,8,2,512,61.011966705322266,True,449047
4,16,16,256,16,256,4,128,64,1024,25.780223846435547,True,450261
16,2,16,4,128,2,2,8,4,1024,4.169727802276611,True,453015
4,32,128,8,8,2,32,1,64,512,506.3843688964844,True,457445
4,4,16,128,8,64,1,32,1,1024,46.71590423583984,True,458694
16,16,16,4,32,4,16,4,64,128,32.92364883422852,True,461094
16,8,16,4,16,16,128,2,1024,64,55.91654586791992,True,462659
16,2,128,1024,16,64,32,32,512,32,71.0297622680664,True,463789
4,1,256,4,4,4,8,2,128,64,212.93055725097656,True,469192
64,2,4,32,128,8,2,1,512,256,17.185792922973633,True,472908
16,2,128,64,32,1,2,1,1024,64,2147483648.0,False,485590
16,2,16,16,128,64,8,128,512,512,3.5000319480896,True,487213
32,32,64,16,32,4,4,4,512,8,141.2147216796875,True,491890
16,8,16,64,32,8,32,1,128,1,505.5559692382813,True,494773
16,8,256,512,16,4,4,1,128,4,2147483648.0,False,509108
8,32,64,16,128,1,4,16,256,64,2147483648.0,False,520514
4,8,32,4,64,2,1,128,64,256,38.9672966003418,True,525291
8,512,1024,32,8,1,4,8,128,128,2147483648.0,False,540228
16,4,16,512,64,128,2,64,4,128,104.35993957519533,True,542080
16,2,8,16,64,64,2,32,16,128,18.564096450805664,True,545054
4,4,32,32,16,64,1,32,16,32,39.93292617797852,True,546452
64,64,64,32,64,1,32,2,256,8,2147483648.0,False,560019
64,4,8,32,128,4,4,1,8,512,35.789825439453125,True,563904
4,4,64,16,16,128,1,2,2,8,575.572998046875,True,568571
4,8,256,256,32,4,16,64,32,128,124.19379425048828,True,569894
4,8,16,512,32,128,4,4,256,16,5.079040050506592,True,572411
8,4,4,256,8,64,32,1,256,128,14.468095779418944,True,574656
16,16,128,512,32,4,8,8,8,1024,84.55987548828125,True,576823
16,8,8,8,256,16,2,1,512,1024,61.23827362060547,True,583625
32,8,8,4,64,8,4,1,1024,32,19.84409523010254,True,587500
4,4,512,32,4,8,2,1,1024,32,2147483648.0,False,600365
8,16,256,64,8,16,4,4,1024,512,14.457856178283691,True,604231
32,2,128,4,32,16,8,1,1024,2,2147483648.0,False,619266
16,64,256,4,16,8,8,64,256,64,127.87814331054688,True,624263
16,8,16,8,16,128,1,16,1,32,693.3934326171875,True,626518
128,1,64,128,128,8,8,8,512,128,56.73471832275391,True,631790
16,1,128,512,16,8,64,2,64,128,2147483648.0,False,643476
4,4,16,512,4,512,64,2,256,2,866.7166748046875,True,645504
4,64,128,64,16,64,16,4,1024,1024,13.98374366760254,True,648929
4,4,8,128,4,256,8,16,128,16,125.18502044677734,True,650390
4,32,64,1024,64,16,8,1,16,32,20.87936019897461,True,655258
4,8,16,256,64,64,128,8,512,16,45.78303909301758,True,656765
8,1,256,32,32,2,1,1,64,2,2147483648.0,False,666777
4,2,128,64,16,32,64,2,128,64,53.59513473510742,True,669717
8,128,256,512,8,8,16,2,16,4,5224.19384765625,True,680272
64,4,64,4,64,16,2,2,2,4,2147483648.0,False,692792
16,1,32,4,128,32,2,256,32,1024,3.9915521144866943,True,694575
4,4,16,128,32,16,8,32,256,256,1.5820800065994265,True,695997
4,2,4,8,512,4,8,64,64,128,137.14022827148438,True,697807
4,2,16,16,32,4,4,64,256,512,3.9045119285583496,True,699373
8,64,128,16,32,1,4,16,1024,32,67.7949447631836,True,703810
16,8,128,32,32,2,8,128,128,1024,48.11161422729492,True,705381
4,1,32,16,4,1,64,16,64,32,3812.31103515625,True,710154
4,64,128,32,32,4,4,4,16,256,110.58380889892578,True,714543
4,8,8,1024,32,256,2,4,1024,128,7.895040035247803,True,717169
4,2,16,8,8,2,1,2,1,256,93.31814575195312,True,718362
8,8,256,128,16,8,32,8,64,8,236.8716735839844,True,720955
8,8,32,4,256,4,1,8,1,32,2147483648.0,False,733258
16,1,128,4,64,2,256,2,512,128,130.75967407226562,True,744247
16,256,256,32,32,1,4,1,16,512,2147483648.0,False,758877
8,64,64,32,64,32,1,128,512,512,2147483648.0,False,772841
32,32,32,8,256,4,1,1,16,2,2147483648.0,False,790411
64,8,32,16,256,1,8,128,16,1024,167.9298553466797,True,795201
32,32,256,256,32,2,64,4,128,1024,1324.17333984375,True,806298
8,4,32,64,128,4,4,1,256,512,35.557376861572266,True,813983
4,1,16,16,32,4,2,1,8,128,21.357568740844727,True,818062
8,4,16,16,16,1,8,8,128,128,24.49817657470703,True,820795
4,2,32,256,16,128,1,1,512,16,72.25958251953125,True,825141
8,32,32,16,256,2,4,1,256,128,2147483648.0,False,837446
64,2,8,8,128,16,4,8,256,128,6.28326416015625,True,839833
4,4,32,64,32,2,4,8,32,8,91.72480010986328,True,841016
64,16,16,8,256,1,1,2,64,1024,2147483648.0,False,854736
8,32,32,32,32,8,2,64,128,128,46.2213134765625,True,859064
16,16,64,8,64,1,8,2,256,32,63.41734313964844,True,863241
32,1,4,4,64,8,128,1,256,1,3183.0283203125,True,867974
4,64,128,4,32,2,32,16,1024,1024,82.61734771728516,True,870380
16,8,16,8,16,256,128,2,128,128,54.51776123046875,True,872025
8,2,32,4,8,64,2,128,512,512,1.1212799549102783,True,873570
4,8,8,4,4,512,64,8,512,128,48.94720077514648,True,874916
8,16,256,128,16,8,16,2,256,64,16.61849594116211,True,887525
16,32,32,16,64,8,1,1,2,32,2147483648.0,False,899876
4,1,128,1024,4,32,4,128,256,512,5.337088108062744,True,901521
8,64,128,128,8,1,2,4,256,64,61.949951171875,True,904038
16,1,32,16,32,128,16,1,1024,4,31.640575408935547,True,908057
4,2,64,32,64,4,256,2,1024,16,26.12838363647461,True,910022
64,8,8,128,256,32,8,1,1024,16,89.62866973876953,True,914880
32,8,8,16,128,2,2,16,16,512,163.0924835205078,True,919388
4,8,128,4,4,16,32,8,256,32,102.84236907958984,True,920693
8,4,8,64,128,32,64,8,512,512,2.761728048324585,True,922303
4,1,8,4,4,16,1,2,2,16,318.7343444824219,True,923814
32,4,4,256,64,128,256,4,512,8,1711.024169921875,True,927245
4,16,32,512,8,32,32,2,1024,8,10.64755153656006,True,929429
4,2,256,16,32,4,1,2,16,1024,2147483648.0,False,944889
16,32,128,256,16,64,8,4,64,1024,71.05741119384766,True,947485
8,64,64,256,16,16,16,1,512,16,82.18521881103516,True,952370
4,128,128,128,4,64,2,512,128,1024,203.9224395751953,True,955403
4,4,64,16,64,16,4,4,256,4,27.048959732055664,True,957860
16,8,16,8,512,2,1,1,128,512,2147483648.0,False,976192
