tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
32,1024,8,4,1.5278079509735107,True,432650
64,16,8,1,28.53273582458496,True,436581
16,16,8,2,122.49292755126952,True,438548
32,256,4,1,4.826111793518066,True,441012
512,64,128,1,11.990015983581545,True,444140
8,32,1,32,157.7523193359375,True,446094
16,512,8,8,6.961152076721191,True,448639
16,512,1,32,6.837247848510742,True,451469
128,1024,2,4,2.194432020187378,True,453849
256,4,4,4,118.6201629638672,True,455632
32,128,4,8,8.98969554901123,True,458529
1024,1,512,1,610.2988891601562,True,460694
64,64,4,64,13.28435230255127,True,463649
64,64,8,8,12.240896224975586,True,466728
16,512,2,8,5.347328186035156,True,469292
4,16,2,2,495.26373291015625,True,471354
64,64,32,16,13.102080345153809,True,474425
32,64,2,64,27.668479919433597,True,478162
1024,512,256,2,2.0346879959106445,True,480804
128,4,32,2,165.1015625,True,482555
64,512,4,8,1.4376959800720217,True,484909
256,256,1,8,8.71014404296875,True,487731
64,32,32,4,24.368127822875977,True,491324
16,64,2,32,52.83430480957031,True,496415
256,128,8,32,6.714367866516113,True,499144
32,512,1,64,4.783103942871094,True,501605
1024,64,512,2,12.333056449890137,True,504526
4,1024,4,16,14.629887580871582,True,507709
256,32,128,2,23.810047149658203,True,511290
4,256,2,16,37.83884811401367,True,515507
8,1024,1,1024,31.565824508666992,True,519392
512,256,4,1,5.046271800994873,True,521874
32,256,16,2,4.585472106933594,True,524457
32,1024,4,32,2.135040044784546,True,526885
128,512,4,256,2.313215970993042,True,529299
512,64,8,64,13.722623825073242,True,532291
1024,512,256,4,3.3955841064453125,True,534693
1024,8,512,2,93.67552185058594,True,536329
512,32,4,16,25.021440505981445,True,539964
64,256,2,128,3.8195199966430655,True,542529
512,64,16,2,8.509440422058105,True,545247
256,128,8,8,6.562816143035889,True,547878
1024,1024,8,8,1.2175359725952148,True,550333
1024,4,256,2,187.2097320556641,True,552047
256,256,32,8,3.872767925262451,True,554764
1024,64,8,4,8.454143524169922,True,557565
512,1024,8,1,2.4729599952697754,True,559955
512,32,8,32,25.53036880493164,True,563626
1024,32,512,1,22.07948875427246,True,567273
256,256,16,32,3.693567991256714,True,569877
1,1024,1,256,75.72889709472656,True,576223
256,2,32,2,317.876220703125,True,578015
256,16,64,8,50.72895812988281,True,583137
512,512,32,2,2.0183041095733643,True,585586
64,1,4,1,317.6386413574219,True,587563
128,8,8,4,62.70975875854492,True,593029
128,16,1,16,33.42745590209961,True,597134
256,32,32,4,23.90732765197754,True,600746
64,32,16,32,26.848255157470703,True,604578
128,16,4,8,31.99488067626953,True,608587
32,8,32,8,194.4145965576172,True,610342
1024,2,8,2,233.84371948242188,True,612224
256,1024,16,1,1.5022079944610596,True,614561
64,32,2,8,15.911935806274414,True,617771
32,512,1,16,3.0842878818511963,True,620268
1024,8,64,4,97.99270629882812,True,621984
2,4,1,4,3916.033935546875,True,627544
4,8,4,2,967.9708251953124,True,630048
1024,8,128,2,92.71910095214844,True,631763
16,32,16,4,96.1116180419922,True,633470
8,32,2,16,139.01925659179688,True,635258
256,8,256,4,98.23744201660156,True,636890
64,512,8,32,2.001919984817505,True,639192
128,1024,2,64,2.734080076217652,True,641731
64,256,2,1,6.462463855743408,True,644355
128,512,1,4,3.843071937561035,True,646890
16,512,8,64,7.661568164825439,True,649585
256,32,4,16,24.521728515625,True,653342
512,32,512,1,21.987327575683597,True,656761
512,128,2,2,6.302720069885254,True,659388
256,256,4,64,3.769344091415405,True,662124
16,16,1,2,113.1868133544922,True,663859
8,256,1,8,18.93375968933105,True,667150
256,32,16,16,26.01881599426269,True,670846
256,128,1,4,6.917119979858398,True,673621
128,1024,1,16,9.119744300842283,True,676490
128,128,128,4,6.58739185333252,True,679102
1024,32,1,4,15.62009620666504,True,682211
16,64,4,2,31.856639862060547,True,686248
256,16,2,8,31.409151077270508,True,690353
16,512,2,128,7.780352115631103,True,693215
128,16,16,1,29.437952041625977,True,697235
512,16,32,16,50.87744140625,True,702312
512,128,16,1,4.482048034667969,True,704882
2,4,1,1,3590.77783203125,True,709989
32,512,2,4,2.778111934661865,True,712472
16,64,8,64,55.83359909057617,True,717768
16,128,8,128,32.268287658691406,True,721834
128,256,32,32,3.844095945358277,True,724467
8,1024,2,2,5.639167785644531,True,727134
1024,1024,8,1,2.544640064239502,True,729503
64,128,1,16,5.2060160636901855,True,732071
512,256,1,8,9.409536361694336,True,734863
512,64,32,32,14.333951950073242,True,738035
16,32,2,2,58.52979278564453,True,743424
512,16,16,4,47.09683227539063,True,748116
64,64,16,16,13.104127883911133,True,751011
512,1,2,1,317.6570739746094,True,752865
64,128,16,2,4.447231769561768,True,755430
128,64,8,1,8.094719886779785,True,758042
128,16,32,16,50.87641525268555,True,762861
16,4,16,4,756.3642578125,True,765050
256,32,32,4,23.910400390625,True,768444
64,1024,64,4,1.1448320150375366,True,770620
256,8,8,4,62.43328094482422,True,776113
1024,1024,4,16,1.3066240549087524,True,778439
8,256,4,4,18.165760040283203,True,781580
32,512,8,128,4.262911796569824,True,784020
64,64,8,32,13.14406394958496,True,786899
8,256,2,64,28.54297637939453,True,790558
128,128,8,2,4.509696006774902,True,792931
2,16,2,8,1030.1419677734375,True,795440
256,128,2,32,7.138304233551025,True,797952
16,256,16,16,13.811712265014648,True,801177
128,32,4,16,24.38143920898437,True,804946
256,512,4,32,2.0295679569244385,True,807440
512,4,2,1,99.63314819335938,True,809092
32,1024,4,128,2.160640001296997,True,811551
4,32,4,16,401.6660461425781,True,813432
32,16,2,8,62.37798309326172,True,819020
32,512,2,128,4.002816200256348,True,821767
1024,8,128,2,92.73241424560548,True,823371
8,256,1,16,19.03718376159668,True,826777
512,4,256,2,187.1810607910156,True,828483
8,128,4,8,34.73817443847656,True,832658
64,256,16,8,3.535871982574463,True,835255
512,64,16,2,8.522751808166504,True,837938
256,128,32,32,7.365632057189941,True,840685
128,16,16,8,49.17657470703125,True,845690
512,64,4,4,8.249343872070312,True,848366
1024,64,128,4,12.841983795166016,True,851536
256,256,16,16,3.832832098007202,True,854656
512,64,32,2,12.489727973937988,True,857607
32,1024,32,4,1.990656018257141,True,859999
128,1,16,1,444.2388610839844,True,861996
512,1024,64,8,1.1622400283813477,True,864471
32,32,8,4,32.00409698486328,True,868437
512,32,16,32,26.84620857238769,True,872152
32,64,16,64,30.486528396606445,True,876078
1024,4,256,1,164.62847900390625,True,878143
128,256,2,256,4.20966386795044,True,880802
1024,256,8,32,3.699712038040161,True,883527
16,128,2,2,16.113664627075195,True,886863
128,64,64,8,13.314047813415527,True,889914
256,32,64,8,26.022911071777344,True,893622
64,512,64,16,2.066431999206543,True,896007
128,512,16,1,1.5431679487228394,True,898292
8,1,4,1,3541.210205078125,True,903521
128,1024,128,4,1.947648048400879,True,905949
512,256,2,256,7.8888959884643555,True,908732
16,32,2,32,103.14546966552734,True,910445
4,4,1,2,1794.1790771484375,True,913835
128,4,16,4,187.6592712402344,True,915570
1024,16,256,2,47.45113754272461,True,920462
128,16,2,2,29.02220726013184,True,924288
32,4,4,2,232.51866149902344,True,926097
8,256,1,1,19.111936569213867,True,929352
64,128,16,1,4.381696224212647,True,931837
512,256,16,1,2.605056047439575,True,934301
64,64,64,4,12.75391960144043,True,937321
128,512,2,1,6.356991767883301,True,939916
512,512,16,1,1.6189440488815308,True,942442
256,256,16,16,3.834880113601685,True,944857
64,64,8,1,8.073216438293457,True,947787
4,1024,2,4,11.0131196975708,True,950690
32,256,8,1,4.612095832824707,True,953393
1024,128,2,32,6.993919849395752,True,956103
8,256,1,16,19.03718376159668,True,959309
2,1024,1,128,34.408447265625,True,963392
2,32,1,8,516.3560791015625,True,965505
16,128,16,32,28.00639915466309,True,969305
64,512,2,512,3.836927890777588,True,971779
16,32,8,2,61.84550476074219,True,977536
8,512,4,1,9.534463882446287,True,980467
4,32,4,8,261.9750366210937,True,982239
512,128,16,32,7.008255958557129,True,984905
2,32,1,1,451.6065368652344,True,986965
128,32,8,4,16.169984817504883,True,990078
64,128,1,1,12.146688461303713,True,993036
32,1024,4,8,1.5534080266952517,True,995428
512,2,16,1,229.33197021484372,True,997153
256,64,4,2,8.150015830993652,True,999930
16,512,2,256,8.745984077453613,True,1002667
256,32,8,16,24.63539123535156,True,1006222
512,8,512,2,93.78508758544922,True,1007873
4,512,4,256,37.119998931884766,True,1012175
64,512,32,4,1.9240959882736208,True,1014473
256,128,4,1,5.72211217880249,True,1017210
