A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,1,1,2,0,1,1,2,0,16,1,2,1,8,1,1000,1,10,20,5,1,2048,1,256,1,8,1,8472576,True,2755
1,1,1,0,1,2,1,0,1,0,2,16,8,1,1,2,1,1000,500,2,1,1,1,2048,1,1,1,128,16,1462272,True,3771
0,0,1,0,0,0,2,1,0,2,1,16,1,2,2,4,1,1000,5,10,1,5,4,2048,1,64,1,1,32,15942656,True,5190
1,1,1,1,0,0,1,2,0,2,1,16,4,1,2,1,2,1000,5,1,5,10,4,2048,1,64,1,2,16,3563520,True,6224
1,1,1,0,0,1,0,2,2,1,0,16,1,4,1,4,1,1000,10,4,1,1,25,2048,1,64,1,2,16,66448388,True,8070
1,0,0,0,0,0,2,1,0,2,1,16,1,2,1,2,4,1000,1,25,4,10,1,2048,1,8,1,8,32,129234936,True,10338
0,1,1,0,0,2,1,0,0,2,1,16,2,1,4,1,2,1000,2,1,20,25,1,2048,1,64,1,16,2,9223372036854775807,False,11049
0,0,1,1,1,0,1,2,0,1,2,16,2,8,1,1,1,1000,25,4,5,2,1,2048,1,1,1,1024,2,9223372036854775807,False,11617
1,1,1,1,1,1,0,2,2,0,1,16,4,1,1,4,1,1000,5,1,2,10,10,2048,1,128,1,16,1,28640256,True,13031
0,0,0,0,0,1,2,0,0,2,1,16,4,1,1,2,2,1000,8,5,1,5,5,2048,1,512,1,1,4,21296128,True,14073
1,0,0,1,1,2,1,0,0,2,1,16,2,2,1,2,2,1000,10,5,2,2,5,2048,1,2,1,64,16,19789824,True,15502
1,0,1,0,1,2,1,0,0,1,2,16,1,4,2,1,2,1000,1,1,1,4,250,2048,1,2,1,1,1024,9223372036854775807,False,16945
0,1,0,0,0,2,0,1,0,1,2,16,4,2,1,2,1,1000,10,1,2,50,1,2048,1,1,1,4,512,19689472,True,18350
1,1,0,1,0,0,1,2,2,0,1,16,2,1,2,2,2,1000,1,20,2,1,25,2048,1,256,1,1,8,64249856,True,19880
1,0,0,0,1,0,1,2,1,2,0,16,1,4,2,2,1,1000,5,1,20,10,1,2048,1,256,1,2,4,978944,True,20973
1,0,1,0,1,1,0,2,0,2,1,16,1,1,1,8,2,1000,10,1,2,50,1,2048,1,1,1,2048,1,9223372036854775807,False,21925
0,0,0,1,1,2,1,0,2,1,0,16,1,1,2,2,4,1000,125,1,2,4,1,2048,1,128,1,16,1,394240,True,22908
1,0,0,0,0,1,0,2,0,2,1,16,8,1,2,1,1,1000,2,5,20,1,5,2048,1,128,1,1,16,2292736,True,23970
1,1,0,0,0,2,0,1,1,0,2,16,4,1,2,1,2,1000,1,2,2,25,10,2048,1,8,1,4,64,49145856,True,25354
1,1,1,0,1,0,1,2,2,1,0,16,1,16,1,1,1,1000,1,1,8,25,5,2048,1,16,1,32,4,9223372036854775807,False,26499
0,0,1,1,0,2,1,0,2,1,0,16,2,2,1,4,1,1000,1,2,2,250,1,2048,1,128,1,8,2,255719424,True,29774
0,0,0,0,1,2,1,0,0,2,1,16,1,2,8,1,1,1000,125,1,2,4,1,2048,1,16,1,1,128,438272,True,30860
1,0,1,1,0,0,2,1,0,2,1,16,1,1,2,8,1,1000,1,50,5,1,4,2048,1,2,1,8,128,9223372036854775807,False,31842
1,1,0,0,0,0,1,2,0,2,1,16,8,1,1,1,2,1000,5,20,5,1,2,2048,1,8,1,32,8,6275072,True,33094
0,0,0,1,1,1,2,0,1,2,0,16,2,1,2,1,4,1000,5,5,1,5,8,2048,1,4,1,8,64,6752256,True,33947
1,1,0,0,1,0,2,1,1,0,2,16,4,1,2,1,2,1000,25,10,2,1,2,2048,1,1024,1,2,1,1695744,True,34527
0,1,0,1,1,1,0,2,2,0,1,16,2,1,1,2,4,1000,1,1,8,1,125,2048,1,32,1,16,4,46040064,True,36313
0,0,1,0,1,2,1,0,2,0,1,16,2,2,4,1,1,1000,5,4,1,25,2,2048,1,256,1,1,8,9461760,True,37526
1,0,0,0,0,0,1,2,2,0,1,16,1,1,8,2,1,1000,50,2,1,1,10,2048,1,1,1,16,128,9223372036854775807,False,38268
1,1,0,0,0,1,0,2,1,0,2,16,4,2,1,2,1,1000,1,250,2,2,1,2048,1,2,1,1,1024,178071552,True,40980
0,1,1,1,1,1,2,0,1,2,0,16,2,4,1,2,1,1000,2,5,4,5,5,2048,1,2,1,8,128,9223372036854775807,False,41889
1,0,0,0,0,1,0,2,0,1,2,16,2,1,2,1,4,1000,2,1,20,5,5,2048,1,256,1,2,4,10518528,True,42732
0,0,1,0,0,1,2,0,1,2,0,16,2,4,1,1,2,1000,8,1,5,25,1,2048,1,512,1,1,4,36251648,True,43790
1,0,0,0,0,2,0,1,2,1,0,16,2,2,1,2,2,1000,25,1,2,2,10,2048,1,8,1,2,128,13405184,True,44846
0,1,0,0,1,1,0,2,1,0,2,16,8,1,2,1,1,1000,1,1,2,5,100,2048,1,32,1,4,16,8041472,True,46187
0,1,1,1,0,2,1,0,2,1,0,16,2,2,1,1,4,1000,125,1,4,1,2,2048,1,2,1,64,16,1172480,True,47016
0,0,0,0,0,1,0,2,1,0,2,16,2,4,1,2,1,1000,10,1,2,2,25,2048,1,1,1,1024,2,37112832,True,47940
1,0,0,1,1,0,1,2,0,1,2,16,1,2,4,2,1,1000,5,4,2,1,25,2048,1,2,1,1,1024,36740096,True,49147
1,0,0,0,0,2,0,1,2,0,1,16,2,1,1,2,4,1000,1,2,2,125,2,2048,1,256,1,8,1,255249408,True,52090
1,0,0,0,1,1,0,2,1,0,2,16,4,4,1,1,1,1000,2,25,4,1,5,2048,1,2,1,16,64,28803072,True,53346
0,0,0,1,0,0,1,2,2,1,0,16,1,1,1,8,2,1000,1,25,4,2,5,2048,1,128,1,16,1,195493888,True,55828
1,0,0,0,1,2,1,0,2,1,0,16,1,8,1,2,1,1000,5,2,4,5,5,2048,1,1,1,2048,1,20829184,True,56776
0,0,1,1,0,0,2,1,0,2,1,16,1,1,1,2,8,1000,4,5,10,1,5,2048,1,1,1,1024,2,9223372036854775807,False,57794
1,0,0,1,1,0,2,1,2,0,1,16,4,1,1,2,2,1000,1,2,1,4,125,2048,1,64,1,2,16,727407616,True,65525
0,0,0,1,1,1,2,0,2,1,0,16,2,2,2,2,1,1000,2,5,20,5,1,2048,1,512,1,4,1,2840576,True,66505
1,0,1,1,1,1,2,0,2,1,0,16,1,1,1,1,16,1000,1,1,100,1,10,2048,1,4,1,512,1,9223372036854775807,False,67642
1,1,0,1,1,1,0,2,2,1,0,16,4,1,1,4,1,1000,25,8,1,1,5,2048,1,128,1,1,16,1768448,True,68397
1,1,0,1,0,2,0,1,1,2,0,16,1,1,1,2,8,1000,1,1,2,500,1,2048,1,8,1,2,128,929836032,True,76857
1,0,0,0,1,1,0,2,0,1,2,16,1,1,2,1,8,1000,2,5,5,20,1,2048,1,4,1,256,2,11243520,True,78007
1,0,1,1,1,1,2,0,1,2,0,16,1,1,2,8,1,1000,25,4,1,5,2,2048,1,512,1,2,2,2309120,True,78727
0,0,1,0,1,1,0,2,0,2,1,16,1,8,2,1,1,1000,2,1,10,25,2,2048,1,4,1,256,2,9223372036854775807,False,79374
0,0,1,0,1,1,0,2,1,2,0,16,2,1,1,1,8,1000,200,1,1,5,1,2048,1,8,1,8,32,1242112,True,80012
1,0,0,0,1,2,1,0,2,0,1,16,1,2,2,2,2,1000,10,1,2,10,5,2048,1,2,1,4,256,5213184,True,81071
0,0,1,0,0,1,2,0,2,0,1,16,1,16,1,1,1,1000,1,4,250,1,1,2048,1,4,1,1,512,9223372036854775807,False,81815
0,1,0,0,0,2,0,1,1,0,2,16,1,1,4,1,4,1000,10,10,2,1,5,2048,1,1024,1,2,1,11114496,True,82809
0,0,1,1,0,2,0,1,1,0,2,16,8,1,1,2,1,1000,2,10,1,1,50,2048,1,1,1,512,4,9223372036854775807,False,83667
1,1,1,1,0,2,1,0,0,1,2,16,1,4,4,1,1,1000,2,10,1,25,2,2048,1,4,1,16,32,9223372036854775807,False,84606
0,0,1,0,1,2,0,1,0,2,1,16,2,2,1,4,1,1000,2,10,5,1,10,2048,1,128,1,2,8,26840064,True,85773
0,0,1,0,0,1,0,2,0,1,2,16,2,1,2,2,2,1000,4,25,1,2,5,2048,1,32,1,64,1,54685696,True,87393
0,1,1,1,1,2,0,1,0,2,1,16,1,1,16,1,1,1000,2,10,5,2,5,2048,1,128,1,1,16,1534976,True,88310
0,1,1,1,0,2,0,1,0,2,1,16,1,1,8,2,1,1000,2,1,25,10,2,2048,1,2,1,64,16,9223372036854775807,False,89155
1,1,0,0,1,1,0,2,0,1,2,16,2,4,2,1,1,1000,25,10,4,1,1,2048,1,128,1,1,16,4126720,True,90349
