tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,8,16,128,4,16,1024,1,1024,512,125.49427032470705,True,650126
4,8,64,8,128,4,1,16,4,16,125.34374237060548,True,660855
64,16,32,32,64,1,1,1,1,128,2147483648.0,False,673110
4,8,256,4,8,16,4,4,512,128,9.785344123840332,True,676387
4,256,256,32,4,16,64,1,128,16,2147483648.0,False,687944
64,8,8,128,256,16,1,16,8,16,2147483648.0,False,700149
32,1,4,16,32,32,8,4,8,1024,6.102015972137451,True,701848
4,2,16,32,4,256,1,1,1,2,5185.65185546875,True,708382
8,2,4,4,512,2,128,1,1024,16,49.81248092651367,True,709653
64,4,16,8,64,64,4,64,64,512,23.74553680419922,True,712934
4,16,16,16,512,1,256,4,1024,1024,156.19686889648438,True,714253
4,16,64,512,4,16,32,8,32,256,71.46495819091797,True,715538
8,1,64,16,16,1,8,1,128,8,84.55577850341797,True,719125
4,8,8,256,128,32,2,1,16,1,299.5630187988281,True,722767
16,2,32,8,16,128,4,64,16,64,66.6429443359375,True,724004
8,1,32,8,256,2,32,4,32,16,27.610111236572266,True,725400
8,16,64,1024,8,32,8,2,64,8,90.1754913330078,True,727179
4,4,512,64,8,2,16,2,512,2,55.605247497558594,True,738056
8,4,4,8,8,128,1,1,512,2,82.67263793945312,True,739332
256,4,8,32,512,4,2,64,2,128,2147483648.0,False,750905
8,1,64,8,8,1,2,4,4,64,68.58342742919922,True,752323
32,128,256,128,32,2,1024,1,1024,16,2147483648.0,False,770845
32,8,32,64,256,4,4,32,512,64,301.62841796875,True,775826
4,1,128,64,32,2,2,4,4,256,69.17120361328125,True,781084
4,2,4,64,8,512,1,2,4,512,17.201152801513672,True,783508
8,2,32,256,16,64,8,1,512,4,11.12883186340332,True,786822
4,64,128,8,16,4,1,16,1024,128,73.93280029296875,True,797845
8,1,8,64,8,32,128,4,256,1024,16.754688262939453,True,800457
4,4,512,8,16,4,1,1,64,8,2147483648.0,False,821543
32,8,64,8,32,64,16,32,256,1024,52.42265701293945,True,823408
8,8,256,256,16,4,1,2,4,4,2147483648.0,False,835814
4,4,4,512,16,512,1,32,1,32,2875.515869140625,True,839978
4,256,1024,1024,8,2,1,2,2,64,2147483648.0,False,854712
8,16,128,128,16,1,1,1,1,8,2147483648.0,False,867207
4,4,1024,32,8,1,16,1,16,4,2147483648.0,False,883132
16,8,512,512,16,2,1,1,8,16,2147483648.0,False,901481
256,8,16,64,256,8,1,128,4,512,2147483648.0,False,913822
8,8,256,128,32,4,2,2,128,128,2147483648.0,False,926224
16,16,64,16,16,2,32,2,512,16,165.93817138671875,True,929074
4,8,1024,8,8,1,1,64,4,128,50.295806884765625,True,930585
8,8,256,8,16,1,16,16,16,16,1831.2806396484373,True,933859
32,8,32,64,32,8,2,1,1024,16,30.08204841613769,True,945220
4,32,1024,1024,8,2,4,128,256,256,25.08799934387207,True,946795
4,2,512,256,4,8,128,8,512,1024,247.44140625,True,950087
4,64,128,64,4,4,1,1,32,2,215.9001617431641,True,954195
16,128,256,512,16,2,32,8,128,16,2147483648.0,False,966472
32,2,32,32,256,1,256,1,512,16,143.15724182128906,True,973398
4,4,32,16,16,1,4,2,32,8,41.14944076538086,True,974727
8,8,128,32,64,1,2,8,4,128,42.281982421875,True,978050
4,2,1024,1024,4,2,1,1,64,2,2147483648.0,False,996260
4,16,16,4,32,2,128,8,256,512,32.40755081176758,True,997600
16,64,64,16,128,1,4,2,4,1024,2147483648.0,False,1009790
16,4,8,4,32,2,1,1,2,2,1505.3055419921875,True,1013411
32,32,128,256,64,8,4,1,1024,1,2147483648.0,False,1027529
32,1,256,8,32,1,1,4,512,32,2147483648.0,False,1040306
8,2,8,64,8,512,1,32,4,128,91.67155456542967,True,1041608
8,1,1024,16,8,1,1,2,1,4,2147483648.0,False,1059384
4,512,512,64,4,16,1,64,32,256,2147483648.0,False,1072164
16,4,16,32,256,16,1,2,1,4,2147483648.0,False,1084645
4,1,1024,512,8,2,1,1,32,1,2147483648.0,False,1094669
4,128,512,256,4,1,1,512,2,1024,1217.7152099609375,True,1100729
16,128,256,1024,16,8,2,2,2,16,2147483648.0,False,1113143
64,2,32,4,256,8,8,1,512,512,2147483648.0,False,1125873
16,2,4,4,512,1,1,128,8,256,2147483648.0,False,1137346
4,8,256,64,4,1,128,1,1024,1,2147483648.0,False,1148835
4,128,512,32,8,1,16,8,16,8,2471.543701171875,True,1156146
4,4,4,4,4,1,1,2,8,2,5478.52490234375,True,1162744
8,8,32,64,16,64,32,1,64,1,1070.1373291015625,True,1166028
16,16,64,4,16,1,512,1,1024,32,2147483648.0,False,1177416
4,512,1024,4,8,2,8,1,1024,1,2147483648.0,False,1193238
8,1,32,32,128,1,32,1,32,1,2402.046875,True,1197828
16,16,32,8,16,4,1,2,256,2,69.03193664550781,True,1199730
4,2,64,8,8,1,1,32,8,64,104.93030548095705,True,1200856
4,16,32,4,64,64,512,1,1024,1,631.4035034179688,True,1202998
4,1,1024,256,4,4,16,32,256,512,23.2806396484375,True,1206261
4,256,256,32,32,8,128,4,512,4,2147483648.0,False,1217784
8,8,128,64,16,4,1,8,8,256,13.758463859558104,True,1220848
8,1,8,8,16,2,256,4,1024,8,536.6712036132812,True,1222368
4,1,4,64,8,64,32,32,128,1024,18.42995262145996,True,1224704
4,4,8,32,4,32,2,1,128,1,235.38790893554688,True,1226212
4,2,1024,8,4,2,8,8,32,128,715.715576171875,True,1230392
4,512,1024,4,4,4,1,8,2,32,2147483648.0,False,1243227
16,4,512,512,16,1,1,16,1,128,786.2968139648438,True,1247138
8,64,128,512,32,4,2,2,2,16,558.3728637695312,True,1257076
8,2,16,4,128,16,4,2,64,256,3.966975927352905,True,1260024
8,8,64,4,32,16,2,64,128,64,7.580671787261963,True,1262489
16,16,16,4,256,2,1,32,1,128,2147483648.0,False,1276337
4,2,4,128,16,32,1,16,4,16,915.7847290039062,True,1278487
32,8,256,4,32,4,2,256,128,512,6.364160060882568,True,1281061
4,2,128,16,4,8,4,64,4,64,277.5357360839844,True,1282602
8,256,512,16,8,2,128,2,1024,256,2147483648.0,False,1294961
16,8,128,8,16,4,4,64,256,256,2.5528318881988525,True,1297023
4,8,16,16,4,32,1,1,512,2,20.63974380493164,True,1299624
4,1,64,1024,4,64,16,1,16,2,3597.20751953125,True,1306776
8,64,64,64,128,2,8,64,16,1024,2147483648.0,False,1318120
4,1,512,128,8,8,64,4,64,16,451.8676452636719,True,1325849
16,1,4,128,16,64,2,4,2,512,27.37664031982422,True,1327184
4,4,4,16,64,8,1,2,1,4,2719.02001953125,True,1333232
4,32,512,4,8,1,4,4,32,128,254.1486053466797,True,1338087
4,2,256,32,8,16,32,2,128,512,164.9950714111328,True,1345338
8,64,512,8,8,4,1,1,1,1,2147483648.0,False,1359512
8,64,1024,16,8,2,256,4,512,64,2147483648.0,False,1371845
16,8,128,4,16,1,32,2,32,2,2147483648.0,False,1383233
4,2,16,8,64,4,1,1,2,8,309.7927551269531,True,1392864
4,4,32,16,64,16,1,4,1,8,2147483648.0,False,1403983
8,16,64,128,32,16,2,256,2,256,2011.1002197265625,True,1408175
4,2,128,32,64,8,2,16,16,512,2.720767974853516,True,1411885
16,8,32,16,32,1,1,1,8,1,700.8952026367188,True,1419622
64,32,64,16,64,16,16,8,512,8,2147483648.0,False,1431703
8,64,256,8,8,16,1,1,2,4,2147483648.0,False,1444066
4,16,16,64,4,128,64,4,256,256,32.361473083496094,True,1445247
8,4,64,4,64,2,4,1,32,4,78.67699432373047,True,1452513
4,16,256,8,4,2,2,16,4,1024,91.53638458251952,True,1453838
8,2,8,8,16,64,8,16,8,32,398.055419921875,True,1455358
4,8,16,256,16,128,8,4,8,16,169.5221710205078,True,1456582
