tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
4,8,8,8,4,128,4,128,32,512,83.80518341064453,True,0
16,16,16,4,128,1,1,512,1024,1024,2147483648.0,False,12155
16,1,16,64,16,32,4,1,4,2,2928.868408203125,True,17849
4,4,16,256,8,128,1,256,1,512,654.0841064453125,True,19897
16,32,256,16,32,2,1,64,1,512,2147483648.0,False,31204
64,8,128,32,64,4,32,4,1024,8,325.5367736816406,True,40582
8,32,512,128,8,2,128,1,1024,1024,2147483648.0,False,54760
4,2,256,8,4,4,8,1,256,1,2147483648.0,False,66517
4,2,4,16,64,4,1,1,64,4,115.39148712158205,True,69349
8,256,256,16,8,4,4,64,8,512,2147483648.0,False,81703
8,64,128,256,32,2,4,128,4,256,1912.8402099609373,True,88195
32,8,16,16,32,4,2,4,8,512,10.680319786071776,True,91028
8,2,16,8,32,16,2,1,32,1,191.48594665527344,True,93454
4,8,64,8,4,32,128,1,256,128,415.7388916015625,True,96570
4,1,128,256,8,32,2,2,128,2,42.26969528198242,True,101434
256,1,4,8,1024,4,16,4,1024,32,268.0965270996094,True,104372
1024,1,4,16,1024,4,4,1,4,1,2147483648.0,False,122499
4,1024,1024,32,4,1,32,32,128,64,2147483648.0,False,139147
4,4,4,8,64,4,1,1,8,32,36.2690544128418,True,141619
16,1,256,512,16,8,128,8,128,32,532.1799926757812,True,146900
16,256,256,256,32,8,64,1,512,128,2147483648.0,False,161415
256,2,8,4,256,2,1,32,16,32,2438.794189453125,True,168582
4,64,64,16,64,2,1,2,1,32,2147483648.0,False,182693
64,1,8,8,512,2,128,4,512,256,55.89401626586914,True,184598
8,4,32,512,32,128,16,16,512,1024,0.8529919981956482,True,186824
8,4,8,32,512,4,8,8,256,8,269.3017578125,True,189872
4,1,512,32,4,8,4,2,16,1024,2147483648.0,False,201988
32,8,256,4,32,4,2,2,32,2,2147483648.0,False,215944
4,4,32,16,8,8,4,32,256,64,4.601856231689453,True,218206
16,32,128,128,16,32,64,2,64,8,3683.663818359375,True,226597
16,4,16,8,64,128,1,64,16,256,11.518976211547852,True,231646
4,16,512,128,4,8,4,16,32,16,42.84620666503906,True,233378
64,4,4,8,128,4,1,8,1,16,2147483648.0,False,244319
32,32,256,8,32,4,16,1,1024,1,2147483648.0,False,261879
64,2,4,4,128,8,2,1,256,256,17.907712936401367,True,265599
16,64,64,512,16,32,8,1,128,4,2147483648.0,False,276945
4,1,64,8,8,64,2,1,32,1,271.5207824707031,True,280487
4,2,64,32,8,16,1,32,1,128,104.07218933105467,True,281649
4,4,128,256,64,8,128,1,128,8,57.68294525146485,True,287267
8,128,256,16,32,8,2,128,4,256,2147483648.0,False,299496
16,8,16,4,32,128,4,1,512,2,66.81292724609375,True,301948
8,64,1024,512,8,1,1,2,1,2,2147483648.0,False,315828
4,1,1024,1024,8,1,2,2,4,2,2147483648.0,False,329762
16,16,16,8,512,2,8,16,256,256,2147483648.0,False,341176
4,512,512,128,4,1,1,64,1,1024,2147483648.0,False,353890
4,16,64,16,64,1,8,2,32,256,9.483263969421388,True,356476
8,32,128,512,8,16,1,16,4,64,343.6011657714844,True,359107
4,64,1024,512,8,2,16,2,128,8,2147483648.0,False,371438
4,32,128,512,8,64,2,16,2,64,111.92217254638672,True,373168
8,4,512,256,8,8,16,1,512,8,2147483648.0,False,388111
4,512,1024,256,4,2,64,1,512,1,2147483648.0,False,403764
8,16,1024,8,8,1,64,1,64,2,2147483648.0,False,422071
4,8,256,512,8,16,2,2,32,128,42.35161590576172,True,425800
1024,2,8,4,1024,1,2,1,64,32,2147483648.0,False,435809
4,8,64,1024,4,16,1,1,8,2,522.2573852539062,True,438594
