tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,4,16,2,243.9475250244141,0
128,512,32,1,1.44486403465271,3142
16,1024,4,128,4.198400020599365,6087
16,32,2,32,102.39488220214844,7728
8,16,2,4,241.1202545166016,9654
16,64,4,4,31.17568016052246,14073
1024,32,1024,1,21.967872619628903,17362
8,512,8,64,15.438847541809082,21388
64,512,8,2,1.4786560535430908,24097
32,8,32,1,118.63654327392578,25694
1024,256,128,1,3.6515839099884033,28404
128,512,32,4,2.0398080348968506,31693
1024,512,32,8,2.1667840480804443,34354
512,64,32,8,12.628992080688477,37489
8,64,2,64,108.2972183227539,39787
128,64,32,1,8.261631965637207,42998
128,1024,32,32,1.1304960250854492,45791
32,512,4,2,2.727936029434204,48536
1024,1024,16,32,1.2953599691390991,50833
128,512,128,1,1.913856029510498,53935
128,512,32,16,2.0971519947052,56551
128,512,32,16,2.0971519947052,59276
1024,512,1024,1,4.616191864013672,62011
1024,512,32,16,2.1043200492858887,64827
128,512,32,32,2.0592639446258545,67628
128,512,32,4,2.0398080348968506,69710
512,1024,32,32,1.1253759860992432,72224
128,512,32,32,2.060287952423096,75060
512,1024,32,32,1.1263999938964844,77985
512,1024,8,128,1.2072960138320925,80395
512,512,32,1,1.4735360145568848,82652
1024,1024,32,32,1.1274240016937256,85406
512,256,32,32,3.844095945358277,88665
512,1024,16,64,1.2021759748458862,91870
512,1024,4,256,1.2707840204238892,94404
512,256,32,4,3.742719888687134,97660
1024,1024,32,32,1.1274240016937256,100606
512,1024,32,16,1.1827199459075928,103549
1024,1024,32,32,1.1274240016937256,106228
1024,512,128,8,1.9752960205078125,108831
1024,1024,16,64,1.20524799823761,111818
1024,1024,32,32,1.1284480094909668,114507
1024,1024,32,32,1.1274240016937256,117325
64,1024,32,32,1.134592056274414,119853
1024,1024,1024,1,4.628479957580566,122885
256,32,32,32,27.676671981811523,127416
512,1024,2,256,5.198847770690918,130660
512,512,32,1,1.4755840301513672,133787
1024,512,128,2,2.1186559200286865,136950
1024,512,16,64,2.1780478954315186,139823
1024,2,256,2,373.2418518066406,142122
256,128,128,2,6.802432060241699,145184
512,1024,128,1,1.2113920450210571,147761
512,1024,32,32,1.1253759860992432,150429
512,512,32,8,2.1616640090942383,153491
512,128,32,32,7.373824119567871,156608
128,1024,16,64,1.2072960138320925,159344
512,512,64,16,2.0480000972747803,162589
1024,512,128,8,1.9752960205078125,165497
512,512,16,64,2.1760001182556152,168439
512,512,32,1,1.4755840301513672,171732
512,512,32,1,1.474560022354126,174553
32,1024,32,32,2.124799966812134,177385
64,1024,32,32,1.134592056274414,180139
32,1024,4,64,2.200576066970825,183191
512,512,2,16,2.3101439476013184,185737
32,128,4,4,8.442879676818848,188824
512,8,512,1,81.73465728759766,195565
512,512,64,4,2.130944013595581,198391
