tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,16,256,256,8,32,4,1,1024,256,2147483648.0,0
4,8,16,32,256,2,4,256,4,512,602.3485717773438,5322
4,1024,1024,32,4,2,16,32,128,256,2147483648.0,22118
8,64,128,4,16,2,1,8,1,8,2147483648.0,33549
4,8,8,32,32,8,128,2,256,2,747.4954223632812,35402
4,128,512,64,8,4,256,2,512,8,2147483648.0,46880
64,1,8,4,1024,1,16,64,128,1024,119.63289642333984,48312
4,32,512,256,8,2,32,8,128,256,175.494140625,50914
4,16,32,128,8,32,4,4,4,512,37.43948745727539,52421
4,8,16,32,512,4,2,4,2,4,2147483648.0,65018
4,256,256,64,8,2,128,4,1024,1024,807.689208984375,76357
16,32,512,64,16,4,128,4,512,64,1098.345458984375,87373
4,2,4,8,4,16,128,4,1024,128,45.57004928588867,88543
256,4,32,16,256,2,2,1,4,64,2147483648.0,109105
16,4,128,512,16,16,8,4,8,4,2457.6572265625,113927
32,4,32,128,32,128,1,4,16,4,125.81887817382812,115923
4,1024,1024,16,4,1,64,2,128,256,2147483648.0,132627
8,2,16,128,64,128,4,64,4,1024,9.804800033569336,134764
16,4,64,8,16,8,32,1,64,8,367.6016540527344,145731
8,4,8,128,8,16,4,16,64,16,168.04556274414062,146922
4,8,256,32,8,1,2,8,64,32,3.920896053314209,148957
4,32,1024,1024,4,4,1,4,1,128,2147483648.0,160405
8,8,16,4,256,4,8,16,64,32,79.23712158203125,162852
32,2,128,64,32,8,4,1,32,128,2147483648.0,177924
64,1,16,32,256,2,2,4,4,8,529.996826171875,182408
4,32,1024,512,4,2,1,8,1,128,3383.505859375,188928
8,2,4,8,64,2,256,2,512,16,133.90745544433594,190407
4,1,4,4,4,4,64,1,512,1,5272.21533203125,197002
4,8,128,4,4,8,1,4,1024,1024,3.088383913040161,199589
8,128,256,16,32,8,4,4,128,32,2147483648.0,210937
8,16,64,512,8,128,2,256,4,1024,184.11724853515625,212475
256,2,32,256,256,8,8,4,16,1024,91.7053451538086,223136
64,1,4,128,128,32,1,32,1024,128,80.85094451904297,224725
4,32,32,16,4,128,4,32,1024,1024,7.095295906066895,227055
16,32,256,8,16,16,2,2,256,1024,68.70425415039062,236793
4,2,128,256,64,2,8,4,8,32,29.189119338989254,238986
16,8,8,4,128,1,1,8,128,256,2147483648.0,250318
4,64,128,128,16,16,2,64,32,128,196.27008056640625,254843
8,8,1024,128,8,1,4,2,8,16,2147483648.0,269159
16,128,128,4,16,8,256,2,512,4,2147483648.0,281485
32,1,8,32,512,8,64,1,512,1,999.0399780273438,284615
16,4,32,32,256,4,1,2,2,4,2147483648.0,299062
4,1,64,4,4,16,1,2,1,8,1635.0986328125,303913
8,2,128,4,16,16,8,2,16,8,443.3930358886719,309344
4,32,1024,128,4,1,4,4,4,64,2950.843505859375,316736
128,4,32,4,128,4,2,32,256,512,32.59904098510742,319664
4,1,256,16,4,1,2,32,64,32,34.68083190917969,320817
16,2,8,16,32,4,32,16,128,16,455.0809631347656,322635
4,256,1024,256,8,1,64,16,64,1024,2147483648.0,334146
4,4,256,256,4,1,2,1,256,32,109.2853775024414,345732
4,4,4,4,64,2,64,1,64,1,3378.469970703125,350206
64,16,16,32,64,2,4,32,8,256,1551.58935546875,356396
16,16,512,256,16,2,2,2,2,8,2147483648.0,370466
32,64,64,4,64,1,512,2,1024,256,2147483648.0,382573
4,512,1024,16,4,2,512,1,512,256,2147483648.0,398605
32,1,256,32,32,8,4,8,8,1024,228.5742034912109,404443
8,4,256,256,8,2,1,1,1,32,2147483648.0,417061
4,16,256,8,16,4,4,1,256,8,39.330814361572266,424239
4,32,512,512,8,1,2,32,4,32,1022.9494018554688,426780
256,1,32,16,256,8,128,1,1024,256,2147483648.0,436791
8,8,1024,16,8,1,16,2,32,16,2147483648.0,451242
4,4,512,64,4,1,16,16,16,32,312.1694641113281,453095
8,256,512,4,8,2,256,1,512,64,2147483648.0,468011
4,256,1024,4,4,1,4,4,512,4,139.6715545654297,473333
4,8,1024,8,4,2,128,1,128,1,2147483648.0,488547
16,1,128,16,16,1,128,1,128,1,2147483648.0,501706
4,8,512,4,4,16,1,4,4,4,834.2783813476562,505939
4,32,128,4,4,32,2,1,2,1,2147483648.0,516901
8,2,64,512,8,128,1,1,256,32,21.127168655395508,521988
4,1,4,4,4,1024,2,16,2,128,464.3430480957031,523843
16,1,32,4,16,1,16,2,16,4,2756.252685546875,528315
64,128,128,4,64,1,8,16,256,128,2147483648.0,545899
4,1,64,64,8,4,1,1,16,2,176.78848266601562,550661
4,1,64,64,4,16,1,2,16,128,15.591423988342283,555046
16,4,4,128,64,128,8,4,512,8,37.04115295410156,556430
16,8,8,256,32,32,256,4,256,256,104.0537567138672,558097
8,64,64,8,16,16,2,512,128,1024,142.0728302001953,562416
8,1,64,512,64,16,2,8,2,16,692.4718017578125,565773
128,2,4,4,128,8,16,64,128,1024,62.60940933227539,567490
4,2,1024,16,4,1,1,2,1,2,2147483648.0,580848
64,8,16,16,256,16,1,8,1,8,2147483648.0,593085
4,8,1024,32,8,2,4,2,64,512,2147483648.0,605637
4,4,128,32,32,1,16,8,64,128,55.83871841430664,606925
256,16,16,8,256,1,1,8,512,16,2147483648.0,620872
4,16,256,8,16,4,512,2,1024,64,374.0887145996094,625728
4,8,8,64,256,8,8,1,512,1,241.16326904296875,628079
4,8,128,32,64,1,1,4,8,4,2147483648.0,640562
16,2,16,256,16,16,32,2,64,4,597.8593139648438,642466
4,2,1024,256,8,2,32,2,32,2,2147483648.0,655990
16,1,16,8,64,1,16,2,128,16,31.480831146240234,657567
16,64,512,256,16,4,256,4,1024,512,759.762939453125,668892
4,2,512,4,8,8,16,32,1024,64,11.006976127624512,671334
4,16,1024,16,4,2,4,16,4,32,658.5446166992188,673866
4,64,1024,8,4,1,1,64,32,512,51.99769592285156,676105
16,1,512,4,16,2,64,16,512,32,140.18663024902344,679187
8,8,8,32,16,32,256,2,1024,4,350.79168701171875,680744
8,16,128,32,16,1,16,1,32,2,872.9497680664062,688693
4,4,32,16,4,1,16,2,32,256,105.97171020507812,690272
16,1,4,8,1024,4,4,1,128,2,2147483648.0,702040
8,2,4,32,16,128,8,64,256,512,4.916224002838135,703709
4,2,512,512,4,16,32,4,1024,1024,38.30886459350586,712517
128,4,8,4,512,1,1,4,8,128,2147483648.0,724811
4,1,256,256,4,1,512,1,512,1024,2147483648.0,736991
16,16,32,8,32,1,1,32,1,512,287.1982116699219,741497
16,64,512,128,16,1,2,1,4,2,2147483648.0,759596
8,2,8,8,32,2,16,1,256,64,39.74758529663086,761048
8,4,8,8,32,8,2,16,2,32,517.30126953125,762691
4,4,1024,128,4,1,1024,1,1024,256,2147483648.0,778829
4,32,256,4,4,8,1,128,2,512,77.7359390258789,780382
64,4,64,16,64,64,64,16,256,1024,166.6703338623047,782175
4,32,1024,64,4,4,1,16,16,256,104.5186538696289,784016
4,8,128,16,64,16,8,1,8,128,119.18540954589844,790787
32,2,4,4,64,1,1,8,16,1024,40.62003326416016,792259
4,128,1024,16,8,2,2,128,128,256,43.11859130859375,796647
4,128,256,4,32,1,32,4,32,1024,1317.0103759765625,802549
4,1,64,128,128,16,1,8,8,16,2147483648.0,814454
256,8,8,4,1024,1,1,2,1,128,2147483648.0,832637
8,2,128,16,32,2,1,4,2,16,2147483648.0,844302
4,2,4,128,32,32,1,64,2,1024,117.7518081665039,846038
4,4,1024,8,4,1,4,8,8,512,1281.23291015625,850058
4,2,16,128,4,32,4,4,16,4,621.918212890625,851764
4,4,4,4,4,16,1,1,4,8,367.3190307617188,853117
16,32,256,128,16,16,2,1,128,1,2147483648.0,867257
32,2,8,64,128,32,32,1,256,512,5.825535774230957,870190
4,4,32,4,128,16,1,8,4,32,52.42060852050781,875729
4,8,8,4,4,1,1,64,1,1024,1689.8734130859375,878644
16,32,64,256,16,4,32,4,32,1024,620.0064086914062,881701
4,4,128,128,4,16,32,16,128,128,16.456703186035156,884294
4,8,1024,1024,4,2,4,16,64,1024,67.43961334228516,886318
8,512,1024,512,8,1,1,2,8,64,2147483648.0,901456
4,32,32,32,32,1,1,4,2,128,2147483648.0,912929
16,4,4,4,32,64,8,1,256,8,16.714752197265625,915329
8,1,512,8,8,1,1,1,4,128,2147483648.0,933689
4,1,8,4,8,512,1,1,1,32,387.4303894042969,935526
