tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,1,4,4,32,1,1,1,1,1,2147483648.0,0
4,32,256,16,8,16,2,64,32,64,21.2490234375,3296
32,16,128,32,32,4,2,1,8,1,2147483648.0,17291
4,8,128,32,64,16,1,1,2,1,2147483648.0,36356
4,8,32,64,4,8,32,8,128,1024,10.872832298278809,38571
32,1,4,4,128,1,4,1,8,16,118.74713897705078,40313
4,1,1024,1024,8,2,8,1,64,1,2147483648.0,50322
4,128,512,256,8,1,64,8,128,256,746.0228881835938,55955
64,4,32,16,64,2,1,16,128,16,166.19212341308594,58283
4,16,64,128,32,4,2,256,16,1024,29.089792251586918,60620
8,32,128,64,32,16,32,4,128,16,163.94444274902344,62997
8,64,64,16,8,1,8,1,8,64,665.7085571289062,68531
4,32,64,256,4,16,1,16,1,64,665.196533203125,70931
8,1,8,4,8,16,2,256,4,256,634.2952880859375,72675
8,4,16,16,32,16,1,32,4,32,223.0630340576172,74583
4,512,1024,4,4,1,1,1,64,1,2147483648.0,90204
4,4,128,512,8,8,16,1,32,128,130.9654998779297,95799
4,4,128,128,4,4,32,1,32,512,496.4474792480469,101799
8,8,8,4,8,64,16,1,64,2,1790.2213134765625,105122
4,32,64,64,16,32,1,2,1,8,1436.26953125,109769
8,2,4,4,1024,1,1024,1,1024,1024,155.3428497314453,111074
4,4,64,128,4,32,1,2,1,16,579.1273193359375,113281
4,128,1024,1024,8,1,256,1,1024,64,2147483648.0,127731
4,1024,1024,512,4,4,1,256,4,256,2147483648.0,144221
16,8,8,16,16,2,64,1,64,128,62.89817428588867,146012
4,4,64,8,4,64,1,8,1,64,244.60287475585935,147454
4,1,16,128,8,8,128,2,256,4,662.2249145507812,149349
8,16,16,64,16,64,512,2,1024,1024,116.18201446533205,150987
8,16,1024,4,8,1,16,16,1024,16,91.79647827148438,153622
4,4,8,32,8,128,16,8,128,128,11.255807876586914,155700
8,32,32,8,8,64,2,8,4,128,144.1658935546875,157638
16,4,256,128,16,1,16,1,16,2,2147483648.0,172178
4,2,512,128,4,8,4,16,32,64,18.860031127929688,175721
32,32,128,128,64,1,8,4,64,4,2147483648.0,187051
4,128,1024,256,4,2,1,128,1,512,6369.61572265625,197889
16,32,64,128,16,128,8,16,32,32,1124.4697265625,201713
4,4,4,32,8,8,16,4,128,16,235.5107879638672,203044
64,1,16,16,256,16,2,8,32,8,359.57861328125,205571
32,2,16,8,32,1,1,2,2,256,30.1527042388916,207553
4,1,16,32,256,2,1,2,512,8,2147483648.0,220894
128,4,4,64,256,16,8,16,128,1024,223.34361267089844,225693
4,2,8,4,4,4,16,1,16,1,2147483648.0,236251
16,128,512,8,16,1,4,128,1024,1024,2147483648.0,248424
4,8,128,256,8,8,4,1,8,1,1453.111328125,253875
8,16,16,128,16,16,1,1,4,1,1189.443603515625,257099
16,8,32,4,128,1,4,16,4,32,574.9176025390625,259748
4,128,128,64,8,1,2,8,32,32,75.05510711669922,264611
256,16,32,8,256,1,1,1,4,256,2147483648.0,282771
32,1,16,8,256,16,1,2,4,256,2147483648.0,295725
32,2,4,16,32,8,16,8,64,8,658.3326416015625,297605
32,4,4,8,256,2,128,4,1024,128,70.46553802490234,299273
4,16,128,4,64,4,16,1,32,128,142.37490844726562,303072
8,32,64,8,32,1,64,1,128,2,1391.4337158203125,308465
16,1,4,4,256,8,64,2,256,512,16.43622398376465,311043
8,512,1024,64,8,1,128,8,512,1024,2147483648.0,325890
32,32,64,128,128,2,2,2,32,4,2147483648.0,338099
4,64,1024,512,4,1,2,2,4,2,2147483648.0,350448
8,32,512,16,8,4,2,1,4,1024,2147483648.0,364564
4,8,1024,8,4,4,8,64,8,256,312.9886779785156,366111
16,8,64,4,64,16,1,1,32,4,2147483648.0,380368
8,32,512,32,8,8,16,1,16,512,2147483648.0,394468
4,4,128,1024,16,64,32,2,512,2,38.63961410522461,396844
4,2,1024,8,4,2,64,8,512,128,436.0601501464844,400862
64,1,128,8,64,4,8,1,256,2,2147483648.0,422431
4,2,128,128,4,8,32,4,256,64,12.53273582458496,425504
4,32,1024,4,8,1,2,1,2,256,2147483648.0,439834
256,8,32,8,256,2,1,1,8,1,2147483648.0,458565
4,16,128,64,16,2,4,64,16,256,29.544448852539062,459856
8,16,128,32,8,16,128,2,1024,64,111.12857818603516,462580
4,4,1024,64,8,1,512,2,1024,32,2147483648.0,475290
4,8,64,512,8,8,2,64,8,128,199.151611328125,476654
8,2,64,8,64,4,1,4,128,64,2147483648.0,488256
16,2,16,8,16,4,4,1,64,64,22.67955207824707,492590
16,2,16,16,16,16,4,16,64,64,6.28326416015625,494429
4,2,512,1024,4,8,32,8,256,256,57.76076889038086,497610
8,64,1024,4,8,1,512,2,1024,1024,2147483648.0,511666
4,1,128,4,4,64,128,2,1024,32,361.2692565917969,515536
8,4,4,16,16,32,32,2,64,128,33.737728118896484,516700
4,64,64,64,16,4,512,1,1024,2,1071.220703125,520107
8,16,128,128,16,32,4,2,128,1024,4.0273919105529785,525245
4,4,8,4,8,256,2,32,2,32,1050.207275390625,527581
4,256,1024,1024,4,4,8,8,1024,1024,80.7352294921875,533520
