tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,4,1024,64,8,2,4,4,4,8,965.918701171875,628762
64,1,16,64,64,4,512,2,512,1024,154.0700225830078,631887
8,4,1024,512,8,2,128,1,256,2,2147483648.0,652965
4,2,8,32,8,4,512,2,512,64,187.35206604003903,654788
8,1,4,16,512,8,1,1,2,2,2147483648.0,667887
16,1,8,64,512,8,1,1,1,512,2147483648.0,683360
4,256,256,256,4,2,128,1,128,256,2147483648.0,694882
64,2,32,16,64,32,4,64,128,256,2.31116795539856,696929
4,2,512,32,16,2,1,2,2,8,2147483648.0,712662
16,64,128,16,32,4,64,16,64,512,2147483648.0,723912
256,1,4,8,512,4,4,4,4,512,29.122560501098636,726453
4,16,256,256,4,8,1,512,8,1024,89.24877166748047,727630
8,16,32,64,256,8,64,1,512,1,108.30028533935548,729913
8,16,512,512,16,2,4,256,32,256,122.2635498046875,731904
32,4,4,16,1024,4,8,1,512,1,1586.212890625,736916
8,64,128,4,32,4,2,2,2,2,2147483648.0,748203
32,2,8,4,32,4,16,4,512,1024,2.841599941253662,749704
32,2,256,32,32,1,2,1,512,64,2147483648.0,769577
32,8,256,512,32,2,1,32,4,1024,66.28044891357422,771434
8,256,256,32,32,1,2,16,32,16,2147483648.0,785628
16,8,32,1024,16,64,4,8,8,256,11.122688293457031,787739
4,16,16,128,8,32,1,1,8,1,958.8255004882812,790131
8,4,8,4,512,8,64,2,64,8,49.62201690673828,791294
4,1024,1024,8,4,1,1,32,16,128,2147483648.0,807499
4,64,128,8,16,1,1,1,32,1,2147483648.0,819988
4,128,128,4,16,64,1,2,2,128,2147483648.0,832316
4,2,32,4,32,32,8,8,16,8,191.1295928955078,833514
8,8,32,128,8,32,2,2,4,128,32.95743942260742,835095
16,32,128,256,16,8,1,2,16,2,601.9491577148438,844379
4,4,64,16,4,128,1,4,2,16,389.8951721191406,846095
4,4,16,16,8,8,4,1,512,1024,14.015487670898438,848577
8,1,8,4,64,8,4,4,32,64,5.885951995849609,850459
128,2,16,4,256,2,1,8,1,512,37.72518539428711,854024
4,1,16,64,128,8,32,1,32,1,393.4975891113281,855986
16,8,16,4,32,8,8,16,16,256,29.638656616210938,857516
4,32,512,8,16,2,4,2,128,32,160.23654174804688,866574
4,32,512,64,8,8,4,32,16,32,61.412353515625,868236
4,256,256,32,4,1,1,1,1,1,2147483648.0,879727
16,2,4,16,128,4,4,1,32,4,74.31884765625,881195
4,4,4,4,32,1,4,32,512,32,306.20672607421875,882587
4,16,16,16,4,32,4,1,32,1,1022.8193359375,884904
4,32,512,64,4,1,1,4,2,512,1014.5361938476562,888939
64,2,32,4,256,4,2,16,16,256,7.416831970214844,891440
4,64,64,8,32,32,8,4,16,128,43.1278076171875,893598
4,2,128,512,16,4,32,1,128,16,44.4477424621582,898223
16,16,16,8,512,2,8,16,128,128,2147483648.0,909497
4,128,256,8,16,16,8,4,1024,128,25.85497665405273,913974
64,4,16,32,64,32,32,2,512,8,234.89535522460935,916774
16,2,128,128,32,1,2,8,4,8,334.1097106933594,919114
16,8,16,16,64,16,1,8,128,16,47.9733772277832,923607
1024,1,4,4,1024,2,1,2,8,512,2147483648.0,937327
8,64,256,8,8,1,4,8,256,512,19.5993595123291,941658
4,2,512,16,16,2,16,32,16,128,425.1627502441406,943313
8,32,64,8,8,128,1,2,4,256,103.52435302734376,945284
4,64,64,8,4,1,2,8,256,1024,14.38003158569336,948116
4,8,256,64,8,32,64,1,512,1024,74.05773162841797,955467
32,64,64,512,32,8,2,16,8,1024,2147483648.0,967491
8,2,64,128,16,128,64,4,128,64,85.27667236328125,969140
8,512,1024,256,8,2,16,1,256,1,2147483648.0,989580
8,32,128,128,8,32,1,64,32,256,74.3403549194336,991747
4,4,32,64,8,32,8,32,128,32,22.67647933959961,994365
32,16,256,8,32,1,2,2,16,2,2147483648.0,1008249
4,4,1024,256,4,1,1,1,4,1,2147483648.0,1023842
8,8,1024,4,8,2,8,128,32,128,138.30758666992188,1025286
4,8,8,4,4,8,2,2,64,32,35.2276496887207,1026790
8,8,128,8,16,64,32,2,64,2,944.9830322265624,1032051
8,2,64,8,8,64,4,256,4,256,160.04608154296875,1033162
4,4,128,8,16,4,1,1,512,2,2147483648.0,1045816
4,2,1024,16,4,2,1,32,4,64,109.39801788330078,1047544
8,32,1024,4,8,1,1024,1,1024,128,2147483648.0,1065492
4,4,1024,64,4,1,1,2,1,2,2147483648.0,1078168
8,4,16,4,64,1,4,128,32,1024,25.24671936035156,1079369
256,4,4,4,512,2,16,4,1024,4,2147483648.0,1090785
4,8,16,4,32,16,4,1,128,8,15.744000434875488,1093449
4,8,256,128,16,1,4,64,16,64,192.40550231933597,1094783
4,16,512,64,16,2,2,4,2,128,2147483648.0,1106262
4,256,1024,32,4,2,8,1,32,2,2147483648.0,1121200
8,64,128,128,8,2,64,2,128,1024,641.29638671875,1124337
4,1024,1024,64,4,4,64,1,64,1,2147483648.0,1141629
16,8,16,4,512,2,32,1,64,64,69.31251525878906,1143717
32,4,4,32,32,32,1,128,2,1024,185.92665100097656,1145341
16,4,256,16,32,2,512,1,512,16,2147483648.0,1159908
8,8,256,128,32,4,2,1,4,4,2147483648.0,1174461
8,64,128,8,64,8,1,2,8,2,2147483648.0,1188408
4,4,1024,256,4,2,4,1,8,2,2147483648.0,1204325
32,64,128,32,64,2,512,1,512,256,2147483648.0,1218298
8,16,16,32,256,2,4,4,4,256,57.76486587524414,1229331
8,256,512,256,8,2,32,2,64,2,2147483648.0,1241589
4,32,512,512,4,4,1,4,2,8,923.7186279296876,1245526
256,1,4,4,1024,4,2,2,32,512,79.20333099365234,1255362
4,64,1024,512,4,4,128,4,128,64,6359.75048828125,1266259
4,128,512,128,4,4,16,1,128,1,2147483648.0,1278756
4,1,4,4,1024,1,256,1,256,1,2379.979736328125,1282127
4,32,512,256,4,16,4,4,8,256,804.1953125,1285376
4,1,1024,1024,4,1,32,1,64,2,2147483648.0,1295387
32,2,16,32,32,4,8,2,32,1024,22.74713516235352,1298568
4,8,256,64,32,1,1,2,2,256,2147483648.0,1313121
128,16,16,16,512,4,2,4,4,32,2147483648.0,1326895
8,1,1024,512,8,2,8,1,16,4,2147483648.0,1336967
4,2,16,4,4,8,1,2,2,2,4355.8818359375,1342763
32,4,4,4,128,1,2,8,128,8,764.36376953125,1345721
4,1,4,128,4,256,8,64,1024,64,18.62451171875,1348678
4,1,512,16,4,16,2,1,2,2,2147483648.0,1363178
128,2,16,128,256,8,1,4,4,4,1507.1119384765625,1373620
8,64,256,4,8,4,2,8,16,8,416.026611328125,1376674
4,8,8,128,16,64,1,16,16,128,25.370624542236328,1378137
512,2,4,8,1024,2,4,1,64,16,2147483648.0,1391140
4,16,16,8,16,2,16,1,128,64,28.667903900146484,1392308
128,16,16,32,128,16,8,16,128,16,2147483648.0,1404369
8,128,256,256,8,4,1,1,2,32,2147483648.0,1416739
8,64,256,64,16,2,2,1,128,32,2147483648.0,1429094
4,1,16,32,128,4,1,16,1024,32,42.37311935424805,1431473
8,512,1024,16,8,1,8,128,256,512,2147483648.0,1446375
8,1,4,16,128,16,1,1,1,4,3090.597900390625,1457172
32,4,8,4,32,8,2,1,4,2,1385.301025390625,1460725
4,8,256,256,16,8,1,16,256,16,8.010751724243164,1463866
4,1024,1024,16,4,1,4,1,4,1024,2147483648.0,1481048
8,2,64,16,16,2,16,1,64,16,73.65837097167969,1484854
4,1,1024,256,4,4,8,16,64,1024,62.73331069946289,1487842
32,8,64,4,32,32,1,1,16,1,2147483648.0,1500098
8,8,64,16,8,8,16,2,32,4,1070.7169189453125,1502984
4,128,1024,256,4,4,2,32,8,64,876.5296630859375,1506622
4,1,32,16,16,1,2,128,512,256,21.782527923583984,1509506
8,64,512,64,8,4,16,1,16,2,2147483648.0,1523624
16,4,8,4,32,2,8,1,512,1,143.1224365234375,1525577
8,2,1024,8,8,2,4,8,4,32,1767.125,1533337
4,1,8,8,4,1,16,16,128,128,384.8806457519531,1534734
32,4,256,128,32,8,1,1,2,1,2147483648.0,1553467
16,64,512,4,16,2,32,32,128,256,363.38177490234375,1558897
8,4,4,4,8,1,16,1,256,8,197.56134033203125,1560149
4,1,512,32,16,1,2,8,1024,1024,5.545983791351318,1564614
32,2,4,256,32,256,1,128,2,128,935.57861328125,1566672
4,16,256,1024,16,16,4,64,1024,128,2.50163197517395,1568388
4,16,512,32,4,4,1,16,512,16,7.749631881713867,1570501
4,128,1024,16,8,1,32,1,64,2,2147483648.0,1584938
8,16,128,64,16,1,4,8,64,1024,11.636735916137695,1587480
4,8,16,128,8,8,1,2,2,256,41.68191909790039,1589000
4,1,64,8,8,8,16,32,256,512,5.198847770690918,1590861
8,4,64,8,8,4,2,2,128,8,13.537280082702637,1593817
4,1,64,512,16,32,1,1,1,2,2147483648.0,1605707
8,4,4,16,256,4,4,2,8,128,26.50828742980957,1608196
4,1,4,8,4,2,256,1,512,2,9376.7255859375,1618694
4,32,1024,16,4,1,1,2,1,32,2147483648.0,1630992
64,2,4,16,512,4,256,4,256,16,586.3209228515625,1633413
64,1,32,8,256,2,8,128,64,128,239.68870544433597,1634958
16,1,4,32,512,8,1,32,1,64,1343.384521484375,1641811
64,1,8,8,128,8,16,4,16,8,445.5465087890625,1643772
8,4,128,128,8,32,1,2,1,256,458.2942810058594,1647630
16,2,4,8,512,2,4,1,4,16,163.5952606201172,1651671
4,2,16,8,512,1,16,16,1024,512,104.96717071533205,1653074
4,2,16,256,8,16,128,2,128,512,43.07660675048828,1654614
4,4,4,16,256,8,2,2,2,512,25.01222419738769,1660195
4,64,512,8,4,8,16,4,32,128,2273.75830078125,1664944
4,64,1024,128,8,1,2,8,32,16,58.9752311706543,1668324
4,1,1024,64,4,1,1,64,2,1024,340.0509338378906,1669838
8,32,128,64,8,32,8,2,8,32,963.8707275390624,1673654
4,1024,1024,1024,4,4,512,1,1024,1024,2147483648.0,1690875
4,4,512,8,4,16,16,1,32,1,2147483648.0,1703543
4,1,16,256,16,64,16,2,16,4,613.9699096679688,1705506
16,64,256,16,16,1,2,1,512,1,2147483648.0,1719479
8,8,64,16,8,2,2,1,8,32,119.15264129638672,1724385
8,32,512,32,8,2,4,1,4,256,2147483648.0,1738569
4,1,8,16,4,32,2,1,32,1,1246.9749755859375,1741735
16,16,64,4,128,2,16,8,256,256,49.79814529418945,1744028
4,256,256,128,4,1,1,1,1,1,2147483648.0,1755516
4,32,256,4,4,16,1,64,256,256,2.580480098724365,1757726
8,256,1024,256,8,2,1,1,1,1,2147483648.0,1776535
4,1,32,32,32,16,4,1,4,1,1660.7835693359375,1782929
8,128,1024,256,8,1,8,16,64,16,396.8737182617188,1788540
128,8,8,8,256,16,32,1,128,1,2147483648.0,1799886
4,2,64,16,4,16,1,8,32,128,3.813375949859619,1801932
8,256,1024,32,8,2,1,1,64,2,2147483648.0,1820783
4,4,8,1024,4,128,16,64,32,512,189.8936309814453,1822237
16,16,16,256,16,64,1,32,1,32,4711.33203125,1829169
512,4,8,4,1024,2,256,1,256,64,2147483648.0,1844293
256,4,16,8,512,2,2,2,128,128,2147483648.0,1856707
8,64,256,64,32,1,2,32,256,128,2147483648.0,1868092
4,16,128,128,4,4,1,16,1,32,924.1907348632812,1870155
16,8,32,4,32,1,1,16,8,16,298.6025085449219,1872701
64,4,8,128,64,16,2,1,128,2,253.52908325195312,1877165
4,256,512,4,4,4,64,2,512,4,1447.7025146484375,1883931
4,256,256,8,4,4,2,1,512,1,333.6540222167969,1895031
4,32,256,1024,4,8,2,4,512,8,8.268799781799316,1897668
4,32,512,32,4,16,4,2,1024,16,62.547969818115234,1902049
4,32,256,64,4,32,64,16,512,256,114.29478454589844,1903704
8,32,512,256,16,2,2,1,64,128,2147483648.0,1917911
4,1,8,16,256,4,2,2,2,2,2147483648.0,1929064
4,256,1024,32,4,2,128,2,1024,32,2147483648.0,1941596
64,1,8,32,64,16,1,64,1,1024,62.55923080444336,1943002
64,16,16,32,256,8,16,4,1024,64,2147483648.0,1954269
4,1024,1024,1024,4,2,1,1,1,8,2147483648.0,1971654
4,256,256,4,16,4,32,8,128,16,2147483648.0,1983158
32,2,8,8,128,4,2,2,2,4,1836.23681640625,1986807
4,256,1024,256,8,1,2,128,16,1024,2147483648.0,1998250
16,32,64,512,16,64,256,1,256,512,2147483648.0,2009564
64,64,64,16,128,16,2,32,16,512,2147483648.0,2023254
4,2,1024,8,4,4,2,2,256,4,2147483648.0,2036488
4,1,1024,64,4,1,64,1,64,1,2147483648.0,2046498
8,4,16,8,256,8,8,8,32,16,35.86048126220703,2048168
32,2,8,8,1024,2,256,1,1024,4,334.6565246582031,2050543
4,1,256,512,4,32,8,64,256,128,3.205120086669922,2052618
4,256,1024,16,8,1,1,1,1,1,2147483648.0,2072044
4,16,32,32,64,1,16,2,16,64,12.001279830932615,2074536
16,1,4,16,128,32,1,1,2,8,616.896484375,2078852
64,4,4,8,128,8,4,1,1024,1,697.0839233398438,2082157
64,8,64,8,128,4,8,2,64,2,2147483648.0,2094340
4,512,1024,128,4,4,8,4,512,16,2147483648.0,2107038
16,2,8,8,16,1,1,16,64,32,59.99923324584961,2108125
8,1,32,32,32,2,64,16,128,512,20.79641532897949,2110494
8,4,4,4,16,256,2,2,1024,4,58.12223815917969,2111657
4,256,256,16,4,8,1,16,1,512,2147483648.0,2123079
4,128,512,64,8,2,1,64,8,256,770.3859252929688,2134267
8,8,128,512,32,32,64,1,1024,4,14.86847972869873,2142205
16,4,16,256,256,16,1,16,1,64,239.20947265625,2152911
8,16,128,32,64,4,16,32,128,256,29.213695526123047,2154601
256,1,16,16,512,2,4,2,64,4,2147483648.0,2167565
4,128,512,16,16,1,1,4,1,8,2147483648.0,2179921
4,128,256,128,8,8,16,2,64,256,352.8089599609375,2184823
4,1,8,8,64,8,4,16,256,16,31.63340759277344,2186026
16,1,4,8,512,16,1,8,1,8,2165.602294921875,2193075
16,1,8,4,32,8,1,8,512,256,4.60595178604126,2194794
4,8,8,64,4,16,128,2,512,2,1932.97509765625,2197771
4,128,512,1024,4,16,1,2,16,4,423.0697021484375,2207385
64,1,4,16,256,4,4,64,16,256,63.18592071533203,2208991
4,128,512,512,4,16,64,1,128,1,2147483648.0,2221418
4,64,1024,512,4,4,4,1,8,1,2147483648.0,2235870
64,4,8,128,64,128,8,16,16,256,97.99577331542967,2237706
4,2,8,32,128,4,1,8,1,64,239.2084503173828,2241363
4,64,128,4,32,32,16,2,32,4,639.9794921875,2244278
32,16,16,8,128,1,1,16,4,64,2147483648.0,2256373
8,32,256,64,8,1,2,4,4,4,1381.032958984375,2260294
32,4,32,256,32,8,16,2,256,512,24.895488739013672,2262697
16,8,512,1024,16,4,1,256,128,512,11.188223838806152,2265018
64,16,16,16,128,8,8,1,16,8,2147483648.0,2276327
16,8,32,8,16,16,32,4,1024,8,20.43187141418457,2279211
4,16,64,64,8,16,256,1,1024,2,316.33203125,2281576
8,8,32,4,8,2,512,2,1024,4,3599.572021484375,2286515
4,1,256,512,32,2,4,2,4,32,2147483648.0,2298518
4,512,1024,64,4,4,1,8,1,32,2147483648.0,2311230
8,16,128,64,32,2,1,8,1,256,169.9246063232422,2314705
8,2,256,32,16,1,32,1,1024,1,2147483648.0,2327456
8,128,512,16,16,4,8,4,8,128,2147483648.0,2338851
32,1,8,16,256,4,4,4,512,128,6.211584091186523,2341410
16,8,16,128,16,8,4,2,1024,4,13.07852840423584,2343905
16,2,512,256,16,2,1,256,1,1024,261.538818359375,2345463
8,1,16,4,8,8,2,4,256,8,14.36774444580078,2347830
32,4,8,512,128,64,4,1,4,64,24.43571281433105,2349999
64,1,16,64,64,64,32,2,256,4,477.8383483886719,2353088
4,2,16,8,8,4,16,64,128,512,32.98508834838867,2354205
512,4,4,8,1024,4,2,16,2,128,2147483648.0,2366683
4,2,4,16,16,32,512,2,512,1024,34.739200592041016,2368006
32,4,16,64,64,4,1,16,1,256,90.95270538330078,2370731
4,2,1024,64,4,2,4,2,4,16,2147483648.0,2383909
8,16,128,16,16,8,1,32,8,1024,7.557119846343994,2386719
4,2,128,4,4,16,2,4,4,8,1359.9088134765625,2390732
8,1,8,16,512,2,2,1,2,32,2147483648.0,2403792
4,1,1024,16,4,1,1,128,1,512,332.1517944335937,2405238
4,1,512,8,16,1,1,1024,1,1024,229.2756500244141,2406406
4,1,8,4,8,64,4,1,16,4,903.4588012695312,2408664
16,1,128,1024,16,64,1,2,1,8,2147483648.0,2420335
8,8,64,512,128,16,1,1,64,4,2147483648.0,2438764
4,8,512,128,16,1,4,1,256,2,2147483648.0,2451378
4,1024,1024,32,4,4,4,1,16,4,2147483648.0,2468657
16,1,16,4,128,2,1,1,512,512,2147483648.0,2481603
8,2,512,512,8,1,16,2,16,64,2147483648.0,2494265
64,2,4,8,128,32,1,8,1,16,989.5300903320312,2497469
