A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,0,0,0,0,1,2,0,1,2,16,16,1,1,1,1,1000,125,2,2,2,1,2048,1,32,1,8,8,359424,True,963
0,1,1,0,0,1,2,0,0,2,1,16,4,1,4,1,1,1000,1,100,2,5,1,2048,1,2048,1,1,1,29400064,True,2150
1,1,1,0,1,2,1,0,2,0,1,16,16,1,1,1,1,1000,125,2,4,1,1,2048,1,4,1,8,64,294912,True,2868
0,1,0,1,0,1,0,2,0,1,2,16,4,4,1,1,1,1000,4,1,25,5,2,2048,1,1024,1,2,1,1821696,True,3686
0,1,0,0,0,2,0,1,2,1,0,16,16,1,1,1,1,1000,10,100,1,1,1,2048,1,8,1,4,64,5535744,True,4544
1,0,1,1,0,2,0,1,1,0,2,16,2,1,1,2,4,1000,40,5,1,5,1,2048,1,1,1,32,64,9223372036854775807,False,5368
1,0,0,1,1,0,2,1,2,0,1,16,2,1,2,1,4,1000,200,5,1,1,1,2048,1,128,1,8,2,1034240,True,6250
0,0,0,0,1,1,0,2,0,1,2,16,4,2,1,1,2,1000,500,1,2,1,1,2048,1,32,1,16,4,364544,True,7251
0,1,0,1,1,2,0,1,1,0,2,16,2,2,2,1,2,1000,500,2,1,1,1,2048,1,2,1,8,128,3173376,True,8272
0,1,1,1,1,1,2,0,2,1,0,16,1,4,2,1,2,1000,100,1,2,5,1,2048,1,1,1,128,16,9223372036854775807,False,8912
1,1,0,0,0,2,0,1,1,0,2,16,16,1,1,1,1,1000,25,40,1,1,1,2048,1,256,1,2,4,3805184,True,9877
0,0,0,1,0,1,0,2,0,1,2,16,2,1,8,1,1,1000,50,2,10,1,1,2048,1,32,1,32,2,151552,True,10795
0,0,0,1,1,2,1,0,2,0,1,16,8,1,1,2,1,1000,10,100,1,1,1,2048,1,8,1,1,256,17243136,True,11752
1,0,1,1,1,0,2,1,1,0,2,16,4,2,1,2,1,1000,125,1,8,1,1,2048,1,2048,1,1,1,9223372036854775807,False,12641
0,1,0,0,0,0,2,1,2,1,0,16,1,1,1,16,1,1000,500,2,1,1,1,2048,1,64,1,1,32,1297408,True,13672
0,1,0,0,1,0,2,1,1,2,0,16,8,1,1,2,1,1000,100,1,1,1,10,2048,1,256,1,2,4,473088,True,14387
0,1,0,1,1,1,0,2,2,1,0,16,2,4,2,1,1,1000,1000,1,1,1,1,2048,1,256,1,1,8,484352,True,15429
0,1,0,0,0,2,1,0,2,0,1,16,2,8,1,1,1,1000,50,1,10,2,1,2048,1,256,1,2,4,915456,True,16270
0,0,1,1,1,1,2,0,0,1,2,16,1,8,1,1,2,1000,40,25,1,1,1,2048,1,64,1,16,2,28131328,True,17139
1,0,1,0,1,1,2,0,0,1,2,16,4,2,1,2,1,1000,1,125,8,1,1,2048,1,512,1,2,2,29668352,True,18059
1,0,1,0,0,2,0,1,0,2,1,16,16,1,1,1,1,1000,10,4,1,1,25,2048,1,1024,1,2,1,18283520,True,18861
0,0,1,0,1,0,2,1,2,0,1,16,16,1,1,1,1,1000,250,2,1,1,2,2048,1,1024,1,1,2,1106944,True,19499
0,1,1,1,0,0,1,2,0,2,1,16,1,8,2,1,1,1000,25,1,8,5,1,2048,1,512,1,2,2,1606656,True,20149
0,1,0,0,1,1,0,2,1,0,2,16,8,2,1,1,1,1000,25,10,4,1,1,2048,1,512,1,2,2,2029568,True,21029
1,1,1,0,1,0,1,2,0,1,2,16,16,1,1,1,1,1000,250,4,1,1,1,2048,1,128,1,1,16,1173504,True,21747
1,0,1,1,1,2,1,0,1,2,0,16,2,1,4,2,1,1000,50,4,1,5,1,2048,1,1,1,2,1024,9223372036854775807,False,22510
0,1,0,1,0,1,2,0,2,0,1,16,2,4,1,2,1,1000,5,4,10,5,1,2048,1,1,1,256,8,4681728,True,23361
1,1,1,0,1,0,1,2,1,0,2,16,2,2,2,1,2,1000,40,25,1,1,1,2048,1,32,1,8,8,6397952,True,24117
0,0,1,1,1,0,1,2,1,0,2,16,8,1,1,2,1,1000,40,25,1,1,1,2048,1,512,1,1,4,3395584,True,24942
1,1,1,0,0,2,1,0,0,1,2,16,1,4,1,4,1,1000,125,8,1,1,1,2048,1,8,1,128,2,9397248,True,25899
0,1,1,1,1,0,1,2,1,0,2,16,8,2,1,1,1,1000,2,4,125,1,1,2048,1,512,1,2,2,821248,True,26815
1,1,1,1,0,1,2,0,2,0,1,16,2,4,2,1,1,1000,100,2,1,1,5,2048,1,256,1,2,4,1712128,True,27672
1,0,0,1,1,0,1,2,2,0,1,16,1,16,1,1,1,1000,10,25,1,2,2,2048,1,4,1,8,64,53474304,True,28892
0,1,0,1,1,2,0,1,2,0,1,16,8,2,1,1,1,1000,50,1,4,1,5,2048,1,1,1,4,512,3039232,True,30031
1,0,1,0,1,1,0,2,1,2,0,16,8,2,1,1,1,1000,2,125,4,1,1,2048,1,8,1,1,256,14803968,True,31177
1,1,1,0,0,2,1,0,1,2,0,16,4,4,1,1,1,1000,500,2,1,1,1,2048,1,16,1,1,128,1879040,True,32098
1,1,1,0,0,2,0,1,2,0,1,16,16,1,1,1,1,1000,250,4,1,1,1,2048,1,512,1,2,2,1602560,True,32647
1,0,0,1,0,2,1,0,1,0,2,16,4,2,2,1,1,1000,125,2,4,1,1,2048,1,512,1,4,1,463872,True,33283
0,1,0,1,0,2,0,1,0,2,1,16,16,1,1,1,1,1000,40,5,1,1,5,2048,1,8,1,2,128,7817216,True,34143
0,1,0,1,1,0,2,1,2,1,0,16,4,2,2,1,1,1000,8,125,1,1,1,2048,1,4,1,128,4,35033088,True,35083
0,1,0,1,0,2,0,1,2,1,0,16,4,4,1,1,1,1000,8,25,1,1,5,2048,1,128,1,16,1,18721792,True,35965
0,1,0,0,0,2,0,1,0,1,2,16,8,1,1,2,1,1000,10,1,1,1,100,2048,1,8,1,2,128,13168640,True,37010
1,0,1,1,0,1,0,2,1,2,0,16,16,1,1,1,1,1000,500,1,1,1,2,2048,1,8,1,4,64,771072,True,38001
0,0,1,0,1,1,0,2,2,1,0,16,1,8,1,1,2,1000,2,250,1,2,1,2048,1,256,1,4,2,187414528,True,40261
0,1,0,0,0,1,0,2,0,2,1,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,64,1,16,2,527360,True,40896
0,1,1,0,1,1,2,0,1,2,0,16,4,1,2,1,2,1000,250,4,1,1,1,2048,1,8,1,64,4,482304,True,41612
0,1,0,0,0,2,0,1,2,0,1,16,16,1,1,1,1,1000,125,8,1,1,1,2048,1,2048,1,1,1,620544,True,42181
1,1,1,1,0,2,1,0,2,0,1,16,16,1,1,1,1,1000,5,8,25,1,1,2048,1,64,1,4,8,1862656,True,42791
0,0,1,0,0,0,1,2,0,2,1,16,4,4,1,1,1,1000,4,25,2,5,1,2048,1,8,1,128,2,95041536,True,44360
1,0,1,1,0,2,1,0,2,1,0,16,2,8,1,1,1,1000,50,2,1,10,1,2048,1,2048,1,1,1,9223372036854775807,False,44987
0,1,0,0,1,1,0,2,0,2,1,16,8,1,2,1,1,1000,4,25,1,10,1,2048,1,8,1,32,8,11796480,True,45884
0,1,1,1,1,2,0,1,2,0,1,16,1,2,4,2,1,1000,8,125,1,1,1,2048,1,64,1,2,16,23874560,True,46798
1,0,1,0,1,2,0,1,1,0,2,16,1,4,2,2,1,1000,1,1,25,4,10,2048,1,64,1,32,1,9223372036854775807,False,47681
0,1,1,1,1,1,0,2,2,0,1,16,8,1,2,1,1,1000,20,50,1,1,1,2048,1,1024,1,1,2,5085184,True,48464
0,0,1,0,1,0,1,2,2,1,0,16,2,8,1,1,1,1000,8,125,1,1,1,2048,1,256,1,2,4,119114752,True,50130
0,1,1,0,0,2,0,1,1,2,0,16,16,1,1,1,1,1000,125,4,1,2,1,2048,1,16,1,1,128,697344,True,50959
1,0,0,0,0,1,0,2,0,1,2,16,2,1,2,1,4,1000,125,8,1,1,1,2048,1,1,1,256,8,9223372036854775807,False,51632
0,1,0,1,0,1,2,0,2,0,1,16,4,2,2,1,1,1000,4,50,5,1,1,2048,1,4,1,2,256,7791616,True,52637
1,1,0,0,0,0,1,2,0,2,1,16,4,1,4,1,1,1000,5,2,5,10,2,2048,1,512,1,2,2,5624832,True,53397
0,0,0,1,1,0,1,2,1,0,2,16,8,1,2,1,1,1000,4,125,2,1,1,2048,1,128,1,8,2,11376640,True,54170
1,0,0,0,1,2,1,0,0,2,1,16,2,2,1,1,4,1000,50,5,2,2,1,2048,1,2048,1,1,1,2024447,True,54993
0,1,1,1,0,0,2,1,2,0,1,16,16,1,1,1,1,1000,100,10,1,1,1,2048,1,1024,1,1,2,2042880,True,55610
1,0,1,1,0,0,1,2,1,2,0,16,1,2,2,2,2,1000,8,125,1,1,1,2048,1,1024,1,1,2,81165312,True,56827
0,1,0,0,0,2,1,0,2,0,1,16,16,1,1,1,1,1000,1000,1,1,1,1,2048,1,2048,1,1,1,525312,True,57436
0,0,1,1,0,0,2,1,1,2,0,16,8,1,1,2,1,1000,100,1,10,1,1,2048,1,256,1,8,1,409600,True,58220
1,0,1,1,1,0,2,1,2,1,0,16,1,4,4,1,1,1000,1,8,25,5,1,2048,1,8,1,4,64,9223372036854775807,False,59002
0,0,0,0,1,0,1,2,0,2,1,16,8,1,1,1,2,1000,20,25,1,1,2,2048,1,4,1,1,512,3331072,True,59877
0,0,0,1,0,1,2,0,2,1,0,16,1,1,4,1,4,1000,125,1,4,1,2,2048,1,1,1,1,2048,1097728,True,60821
