A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
1,1,0,1,0,0,1,2,2,1,0,16,1,1,16,1,1,1000,25,2,10,2,1,2048,1,8,1,8,32,200704,True,796
0,1,0,0,1,2,1,0,2,1,0,16,2,4,2,1,1,1000,8,1,1,1,125,2048,1,16,1,128,1,10394624,True,3080
0,1,1,1,0,1,2,0,2,1,0,16,2,1,1,2,4,1000,125,8,1,1,1,2048,1,16,1,1,128,13377536,True,3974
1,0,0,1,1,2,1,0,2,1,0,16,1,8,2,1,1,1000,500,1,2,1,1,2048,1,32,1,4,16,416768,True,5015
0,0,1,1,1,1,0,2,1,0,2,16,4,4,1,1,1,1000,4,10,1,1,25,2048,1,512,1,4,1,169737216,True,7254
1,1,0,1,1,0,2,1,0,1,2,16,16,1,1,1,1,1000,2,100,1,5,1,2048,1,2,1,1024,1,17594368,True,8309
0,1,0,0,1,0,1,2,2,0,1,16,2,4,1,1,2,1000,40,5,5,1,1,2048,1,256,1,2,4,3290112,True,9162
1,0,1,1,1,2,1,0,1,2,0,16,4,4,1,1,1,1000,250,2,1,2,1,2048,1,1,1,4,512,13725696,True,11008
0,1,0,1,0,0,2,1,0,1,2,16,1,1,16,1,1,1000,50,4,1,5,1,2048,1,128,1,1,16,771072,True,11892
1,1,1,0,0,0,2,1,0,1,2,16,8,2,1,1,1,1000,200,5,1,1,1,2048,1,2048,1,1,1,4780032,True,12688
1,0,0,0,0,2,0,1,2,1,0,16,16,1,1,1,1,1000,125,1,2,1,4,2048,1,32,1,1,64,3070976,True,13670
1,1,0,0,1,2,0,1,0,2,1,16,8,2,1,1,1,1000,500,2,1,1,1,2048,1,1,1,32,64,1058816,True,14489
0,1,1,1,0,1,2,0,1,2,0,16,16,1,1,1,1,1000,8,25,1,5,1,2048,1,8,1,32,8,16461824,True,15456
1,1,1,1,0,0,2,1,0,2,1,16,2,1,4,1,2,1000,250,4,1,1,1,2048,1,1024,1,2,1,2729984,True,16214
1,1,0,1,1,2,0,1,0,2,1,16,16,1,1,1,1,1000,40,5,5,1,1,2048,1,512,1,2,2,605184,True,17009
0,0,1,1,1,0,2,1,0,2,1,16,2,4,1,1,2,1000,1,125,1,4,2,2048,1,32,1,64,1,157510656,True,19266
1,0,1,1,0,1,2,0,0,2,1,16,1,8,2,1,1,1000,2,50,1,1,10,2048,1,4,1,64,8,197384192,True,21893
1,0,1,0,0,0,1,2,2,0,1,16,2,4,2,1,1,1000,1,500,1,2,1,2048,1,64,1,2,16,172227584,True,23920
0,0,1,0,1,0,2,1,0,1,2,16,2,1,8,1,1,1000,1000,1,1,1,1,2048,1,2,1,4,256,275456,True,24800
0,1,0,1,0,2,1,0,0,2,1,16,16,1,1,1,1,1000,20,10,5,1,1,2048,1,32,1,2,32,1748992,True,25601
0,0,0,1,1,2,1,0,2,0,1,16,16,1,1,1,1,1000,8,25,5,1,1,2048,1,1,1,8,256,2141184,True,26740
1,1,0,1,1,2,0,1,0,1,2,16,8,2,1,1,1,1000,1000,1,1,1,1,2048,1,16,1,2,64,856064,True,27665
0,1,0,1,1,2,1,0,0,1,2,16,8,2,1,1,1,1000,2,100,5,1,1,2048,1,4,1,256,2,28010496,True,28596
0,0,0,1,0,2,0,1,1,0,2,16,4,2,1,1,2,1000,125,2,4,1,1,2048,1,64,1,8,4,1507328,True,29532
0,0,1,1,1,1,0,2,1,0,2,16,16,1,1,1,1,1000,40,5,5,1,1,2048,1,8,1,1,256,1956864,True,30479
0,1,0,1,1,1,0,2,2,0,1,16,4,4,1,1,1,1000,10,10,1,2,5,2048,1,128,1,16,1,16550913,True,31507
0,0,0,0,1,1,2,0,1,0,2,16,4,1,1,4,1,1000,10,2,25,2,1,2048,1,1,1,16,128,1175552,True,32264
0,1,1,1,0,2,1,0,1,0,2,16,8,2,1,1,1,1000,200,1,1,5,1,2048,1,512,1,4,1,779264,True,32939
0,1,0,1,1,2,1,0,0,1,2,16,1,1,2,4,2,1000,8,5,5,1,5,2048,1,128,1,16,1,1987584,True,33785
0,0,1,1,1,0,1,2,0,2,1,16,2,2,1,2,2,1000,5,20,2,5,1,2048,1,1024,1,1,2,13900800,True,34604
0,0,1,0,0,1,0,2,1,2,0,16,16,1,1,1,1,1000,5,20,1,10,1,2048,1,256,1,8,1,31031296,True,35556
1,1,0,0,0,2,1,0,0,2,1,16,1,2,2,1,4,1000,1,8,5,1,25,2048,1,256,1,4,2,184907776,True,37851
0,0,1,0,1,2,1,0,1,2,0,16,4,1,2,1,2,1000,25,4,2,5,1,2048,1,256,1,4,2,925696,True,38526
1,0,0,1,1,0,2,1,1,2,0,16,16,1,1,1,1,1000,50,2,5,1,2,2048,1,256,1,1,8,396288,True,39303
0,0,1,0,0,0,1,2,1,2,0,16,16,1,1,1,1,1000,1,4,10,1,25,2048,1,256,1,4,2,14883840,True,40233
