tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,8,128,1024,16,32,4,4,512,4,7.222271919250488,0
4,2,4,4,512,4,32,1,32,512,35.2542724609375,4235
32,2,32,128,64,8,64,1,1024,4,36.26700973510742,13998
16,2,8,4,512,2,8,8,16,16,196.8199615478516,26529
8,8,128,1024,16,32,4,8,256,8,4.463615894317627,28733
8,8,128,1024,16,16,4,4,512,4,8.920063972473145,31891
16,8,128,1024,32,32,2,2,512,4,68.69197082519531,44388
8,16,128,1024,16,32,4,2,512,2,13.054976463317873,49707
8,8,128,32,16,32,4,8,256,8,5.033984184265137,51907
8,8,128,1024,16,32,4,1,256,8,5.660672187805176,59533
8,8,128,1024,16,32,8,2,256,8,7.086080074310303,64717
8,8,128,1024,16,32,2,8,16,8,47.517696380615234,69070
8,8,128,512,16,64,4,8,256,8,3.57478404045105,71039
8,4,256,1024,16,8,4,8,256,8,7.09222412109375,74210
8,8,128,1024,16,32,4,2,256,2,14.57151985168457,80168
16,4,128,1024,32,32,4,8,512,8,7.403520107269287,83122
8,8,256,512,8,32,4,4,1024,4,20.195327758789062,86965
8,4,256,512,16,16,2,8,256,8,8.20736026763916,89607
8,8,128,512,16,64,4,8,256,8,3.57478404045105,91683
8,8,128,1024,16,64,4,8,256,8,3.569664001464844,93767
8,4,64,1024,32,64,4,8,256,8,5.718016147613525,95766
8,8,128,1024,16,64,2,8,256,8,4.563968181610107,97978
4,16,512,1024,8,8,4,16,256,16,5.942272186279297,100256
8,4,64,512,32,64,4,8,256,8,4.686848163604736,102286
4,8,128,1024,16,64,4,8,128,8,7.777279853820801,104582
4,8,128,1024,16,64,8,8,256,8,4.600831985473633,106783
8,8,128,1024,16,64,4,4,256,4,6.979584217071533,109677
8,8,128,1024,16,32,4,8,256,8,4.463615894317627,111625
4,1,16,8,8,2,2,32,128,128,11.071488380432127,113948
16,4,128,16,16,16,2,1,4,64,2147483648.0,126430
64,16,16,128,128,32,4,16,128,64,2147483648.0,137679
4,1,256,32,4,8,64,16,1024,512,19.94547271728516,140973
16,8,128,1024,16,8,4,8,256,8,16.751615524291992,144073
8,2,128,256,16,64,4,8,256,8,4.520959854125977,146259
8,8,128,256,16,2,1,16,8,16,184.2759704589844,157661
8,8,128,1024,16,64,4,8,256,8,3.569664001464844,159622
8,8,256,1024,16,16,4,4,128,4,14.403583526611328,165653
8,4,128,512,16,16,8,8,256,8,10.757120132446287,168581
8,16,256,1024,16,16,4,8,256,8,4.640768051147461,171901
8,8,128,1024,16,64,4,4,256,4,6.979584217071533,174876
8,16,1024,1024,8,1,64,2,256,8,2147483648.0,189143
4,16,64,256,32,8,8,64,32,1024,6.305791854858398,191411
16,1,16,8,16,128,2,16,2,64,116.86195373535156,199957
16,2,64,128,128,2,16,8,16,128,51.98028945922852,205174
8,8,256,1024,16,16,4,16,256,16,3.54201602935791,208054
8,8,128,512,16,64,4,8,256,8,3.57478404045105,210015
8,8,128,1024,16,64,4,8,256,8,3.569664001464844,212617
8,8,128,1024,16,64,2,8,128,8,4.563968181610107,214801
8,8,256,1024,16,16,2,8,256,8,8.067071914672852,218040
8,8,256,1024,16,16,2,16,128,16,5.233664035797119,221074
4,16,256,512,8,16,4,16,256,16,3.9239680767059326,223250
4,4,256,1024,16,16,4,8,256,16,1.6168960332870483,225767
8,4,256,1024,16,16,4,8,512,16,2.9163520336151123,229339
4,4,256,1024,16,16,4,8,1024,16,1.7592320442199707,232083
4,4,256,1024,16,16,4,8,256,16,1.6168960332870483,234737
8,8,256,1024,16,16,4,8,256,16,2.879487991333008,237802
4,2,256,1024,8,32,4,4,256,16,3.539968013763428,241727
4,4,256,1024,16,16,4,8,256,32,0.8130559921264648,244049
4,4,256,1024,8,32,4,8,512,16,1.679360032081604,246649
4,4,256,1024,16,16,4,4,128,8,7.407616138458252,250322
4,4,128,512,16,64,4,16,256,128,0.7362560033798218,252945
4,4,256,1024,16,8,4,16,256,64,1.3557759523391724,255760
4,4,128,1024,16,32,4,32,256,32,4.064256191253662,258336
4,2,128,1024,16,32,4,16,512,32,2.3746559619903564,260420
4,4,128,512,16,64,8,16,256,128,0.754688024520874,262313
4,4,128,512,16,64,4,32,256,128,0.5345280170440674,264262
4,2,64,512,32,64,1,16,256,128,2.923520088195801,266879
4,4,128,1024,16,64,2,16,256,128,1.464319944381714,269010
4,4,128,512,16,64,4,16,128,32,2.248703956604004,270773
4,2,64,1024,16,128,2,64,128,256,1.070080041885376,272813
4,4,128,512,16,64,4,32,256,128,0.5345280170440674,274284
4,4,128,512,16,64,4,16,256,128,0.7444480061531067,276247
4,4,128,512,16,64,4,32,256,128,0.5345280170440674,278527
4,4,256,512,8,32,2,64,256,256,1.4735360145568848,280281
4,4,128,256,16,64,4,16,128,64,1.2666879892349243,281953
4,4,128,512,16,64,8,32,1024,128,0.9728000164031982,283870
4,4,128,1024,16,64,2,32,256,128,1.253376007080078,285813
4,4,128,512,16,64,4,32,256,128,0.5345280170440674,287638
4,4,128,512,16,64,4,64,256,128,0.8847360014915466,289952
4,4,128,512,16,64,4,16,512,64,0.7618560194969177,291979
4,1,128,128,16,64,4,32,256,128,0.6963199973106384,293923
4,2,512,512,8,8,4,32,256,128,2.416640043258667,296714
4,4,128,512,16,64,2,64,256,256,1.2953599691390991,299083
4,4,128,512,16,32,8,32,512,128,0.9400320053100586,301073
4,1,128,512,16,64,2,32,256,128,1.3946880102157593,303029
4,2,128,512,16,64,16,16,256,128,1.7018879652023315,304843
4,8,128,512,16,64,4,32,256,128,0.6307839751243591,306482
4,2,128,512,16,64,4,32,256,128,0.591871976852417,307974
4,4,128,512,16,64,1,32,256,128,2.2261760234832764,309712
4,4,128,512,16,32,4,32,256,128,0.6594560146331787,311007
4,4,128,512,16,64,2,16,256,128,1.2503039836883545,312956
4,4,128,512,16,64,4,32,1024,128,0.6778879761695862,314582
