tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
8,32,128,64,64,4,128,1,1024,1,166.181884765625,0
32,8,8,16,128,8,64,2,512,16,100.17587280273438,7890
32,32,32,4,128,4,16,64,512,1024,2147483648.0,19373
32,2,8,4,64,1,16,1,256,4,63.02719879150391,25809
32,2,8,4,64,1,64,1,256,4,262.28839111328125,41846
64,2,8,8,64,2,16,1,256,4,77.40825653076172,50480
32,2,8,4,64,1,16,2,256,16,33.142784118652344,54068
64,2,8,4,64,1,16,2,256,8,75.1114273071289,60436
8,32,128,256,8,4,4,32,128,128,15.334400177001951,63585
16,8,64,32,64,16,16,4,64,128,4.837376117706299,66355
128,2,8,16,128,16,8,128,32,128,1035.37255859375,69396
128,4,16,32,512,4,2,1,8,1024,2147483648.0,83812
64,8,64,32,64,16,16,4,64,128,98.55999755859376,93678
8,8,64,32,16,16,8,8,64,128,2.7791359424591064,95682
8,8,64,32,8,16,16,16,64,128,18.480127334594727,98529
16,8,64,512,64,16,32,4,512,128,7.14035177230835,101403
16,8,128,32,16,32,1,32,1024,256,2.203648090362549,103428
4,32,32,128,256,4,32,8,64,512,28.16921615600586,109030
8,64,1024,16,8,2,4,8,16,16,728.8043823242188,114571
16,16,16,8,256,4,16,2,64,64,29.81478309631348,118732
4,64,64,256,16,128,2,4,256,128,15.255552291870115,124352
8,4,4,256,16,128,2,64,32,128,57.52012634277344,128779
16,4,512,128,16,1,2,1,128,128,2147483648.0,148302
4,64,128,32,32,2,256,2,256,512,523.430908203125,151082
8,16,256,8,8,32,1,32,1024,256,1.7326079607009888,153042
8,16,512,32,8,4,1,128,1024,512,3.287039995193481,155025
8,8,128,32,8,32,1,16,1024,256,2.767872095108032,156834
8,16,256,32,8,16,1,32,1024,128,4.061183929443359,158874
8,16,256,8,8,32,1,32,64,256,1.9077119827270508,160892
8,16,256,256,8,32,16,16,1024,512,2.909183979034424,162826
8,16,256,8,8,32,1,32,1024,256,1.7315839529037476,164951
32,4,8,8,32,256,1,64,1024,512,8.845312118530273,167293
8,1,128,64,8,16,2,4,4,1024,98.33881378173828,176896
8,16,256,8,8,16,16,16,1024,256,6.089727878570557,179393
16,16,256,8,32,8,1,128,4,1024,21.70470428466797,185368
8,16,256,8,8,32,1,32,64,256,1.9066879749298096,187340
16,16,256,8,16,16,1,128,1024,256,2.978816032409668,190150
8,16,256,8,8,32,2,64,1024,256,1.0577919483184814,191821
8,16,256,8,8,32,1,64,1024,256,1.4540799856185913,193555
8,16,256,8,8,16,1,32,1024,256,2.1022720336914062,195582
8,16,256,16,8,32,2,64,1024,256,1.3107199668884275,197396
8,16,256,8,8,32,1,32,1024,128,1.7326079607009888,199396
8,16,256,8,8,32,2,32,1024,128,1.0383360385894775,201168
8,16,256,8,8,32,2,32,1024,128,1.0393600463867188,202760
8,8,128,8,8,64,2,64,1024,256,1.0629119873046875,204809
8,16,256,8,8,32,1,32,1024,128,1.7326079607009888,206904
8,8,128,8,8,64,1,32,1024,256,1.4172159433364868,208693
8,8,128,8,8,32,2,64,1024,256,0.9584640264511108,210443
8,8,128,8,8,32,2,64,1024,256,0.9584640264511108,211995
8,8,128,4,8,32,2,64,1024,256,1.0690560340881348,213775
8,8,128,8,8,32,2,128,512,256,1.7797119617462158,215296
8,8,128,16,8,32,2,64,1024,256,1.112064003944397,217457
4,4,16,16,8,32,512,1,512,128,99.78163146972656,219010
8,2,128,8,8,32,1,128,1024,512,1.3598719835281372,220697
8,4,32,8,8,128,1,128,1024,512,2.281471967697144,222516
8,8,128,4,8,32,2,32,1024,256,1.1479040384292605,224226
4,32,1024,4,4,1,1024,1,1024,1,2147483648.0,238568
8,8,128,8,8,64,1,256,1024,1024,1.7305599451065063,240207
8,4,32,8,8,128,2,64,1024,256,1.721343994140625,241842
8,8,128,8,8,32,2,64,1024,256,0.9574400186538696,243458
8,8,128,8,8,32,2,16,1024,32,1.6752640008926392,245088
32,2,128,8,32,16,2,16,1024,16,22.597631454467773,248359
8,8,128,8,8,64,2,64,1024,256,1.06496000289917,249766
4,8,128,8,8,32,2,64,1024,256,0.9687039852142334,251153
