tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
2,256,2,8,1687.6912841796875,0
256,128,8,4,22.44300842285156,3029
64,1,64,1,84.48409271240234,9346
16,16,2,4,252.3678741455078,24576
1024,128,4,4,29.493247985839844,28451
32,1024,4,16,185.56723022460935,40926
32,8,1,4,126.15782165527344,49749
2,32,1,2,1687.6483154296875,52640
64,256,64,1,81.89030456542969,59162
4,32,4,16,983.9963989257812,61146
256,16,8,8,20.174848556518555,64569
64,256,1,128,79.16134643554688,70349
16,128,4,16,315.6684875488281,88668
512,16,1,2,31.89964866638184,92172
8,128,1,2,538.8339233398438,93645
1,1024,1,32,3316.73291015625,97972
256,64,16,16,23.764991760253903,101025
256,4,16,1,16.115711212158203,103385
512,1,32,1,8.202239990234375,105318
128,1024,2,256,153.45050048828125,115069
512,8,8,8,10.552319526672363,117176
512,32,8,2,11.287551879882812,119235
128,256,8,1,127.26783752441406,128258
512,64,1,4,58.202110290527344,133216
1024,32,1,1,112.34918212890624,141393
8,1024,4,2,701.5956420898438,143017
8,1024,4,4,539.0919799804688,144422
32,4,8,4,126.24179077148438,153742
512,16,8,1,11.291647911071776,156371
1024,256,4,256,35.68230438232422,159873
512,32,16,4,10.192895889282228,162515
1024,8,2,2,8.688639640808105,164509
256,1024,2,512,144.74649047851562,174563
512,256,4,16,33.93638229370117,178506
64,1024,2,256,209.26156616210935,191390
64,512,2,4,254.3554534912109,206403
8,16,1,4,466.7596740722656,207887
2,512,2,256,3243.93359375,212205
128,1024,1,256,134.62425231933594,221059
1024,1024,4,16,120.8279037475586,229737
32,128,32,8,187.8712310791016,242166
1024,512,8,1,223.85971069335935,256233
512,512,1,32,60.77542495727539,261528
128,256,32,8,58.82265472412109,266756
512,16,1,4,17.326080322265625,269334
128,256,16,1,69.0298843383789,275082
32,2,4,2,126.2182388305664,283771
128,512,32,16,105.07263946533205,291309
64,64,64,2,81.05062103271484,297749
1,512,1,2,3297.50927734375,302041
256,64,2,8,22.553600311279297,305273
2,64,2,4,1688.1448974609375,307818
4,1024,1,32,877.2955932617188,309615
1024,1024,1,2,1774.6165771484375,312326
64,256,16,16,92.76416015625,319311
8,1024,1,256,658.6941528320312,320976
128,1024,1,512,153.5344696044922,331327
1024,16,256,1,5.68012809753418,333287
128,2,16,2,32.43622589111328,337147
128,8,64,4,47.098880767822266,341276
256,16,16,1,15.78598403930664,343956
128,32,4,1,44.75801467895508,348361
256,1024,1,32,121.85702514648438,356522
2,128,2,16,1688.1458740234375,359348
16,128,4,128,474.4622192382813,360966
32,2,2,2,126.30323028564452,369455
32,64,32,32,394.9895629882813,392152
64,256,32,16,120.12134552001952,400674
64,16,32,16,124.73753356933594,409270
1,256,1,16,3317.36669921875,413497
256,512,32,4,68.16460418701172,419397
512,64,32,32,25.07366371154785,422231
16,128,4,2,253.5966644287109,437722
8,256,8,16,562.6603393554688,439399
16,64,16,4,315.85791015625,458363
256,1024,8,128,145.68243408203125,468111
512,8,64,8,15.772671699523926,470710
128,2,64,2,42.32806396484375,475118
512,512,8,32,64.2529296875,480342
512,4,1,1,17.324031829833984,482926
32,64,2,8,126.17727661132812,491576
16,1024,1,32,255.9785003662109,506629
32,16,4,16,158.2213134765625,517144
1,512,1,256,4354.2978515625,522791
32,1,8,1,126.24179077148438,531582
512,32,32,1,8.642560005187988,533522
64,1,4,1,63.24940872192383,538538
512,512,4,128,62.51212692260742,543662
1024,256,32,4,30.87360000610352,547123
512,256,128,2,33.74079895019531,551388
256,1024,1,32,121.62662506103516,559525
64,256,64,16,196.63360595703125,571980
