tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
128,1024,1,256,133.20191955566406,0
64,1024,1,2,1794.8160400390625,2781
256,2,8,2,16.282623291015625,5263
512,64,4,32,12.595199584960938,7536
64,512,32,1,89.39008331298828,14164
32,4,2,2,126.2039031982422,22915
256,64,1,1,227.2378845214844,36860
128,32,128,4,60.35456085205078,42103
512,2,16,1,8.129535675048828,44192
512,1024,32,1,121.63481903076172,52279
1024,4,2,4,4.570112228393555,53889
2,64,1,8,1688.6661376953125,56447
2,32,1,4,1688.67529296875,59012
16,4,2,1,252.38937377929688,74147
64,16,1,4,63.00774383544922,79512
8,8,4,8,468.5823974609375,81107
32,512,4,16,157.94688415527344,91288
16,4,4,4,252.45184326171875,106636
512,512,1,64,61.70316696166992,111715
512,2,32,2,10.678272247314451,113759
32,512,8,128,392.01177978515625,136508
32,2,8,1,126.23974609375,145534
2,128,1,8,1687.78857421875,148062
1024,1024,64,4,119.75987243652344,156232
16,32,16,32,485.80609130859375,157711
2,1024,1,1024,6069.31884765625,164836
1024,1024,1,1,3548.422119140625,169342
256,64,32,4,20.2291202545166,172483
256,2,8,2,16.278528213500977,175627
512,256,16,8,34.20159912109375,179449
256,4,1,2,17.21139144897461,181701
512,16,128,2,11.758591651916504,184442
512,256,128,4,38.34368133544922,188763
1,8,1,1,3318.048828125,192976
256,128,16,4,23.417856216430664,196514
16,2,16,1,252.4753875732422,212355
4,128,2,4,874.660888671875,214461
128,128,1,64,39.6861457824707,218708
256,64,2,1,116.26188659667967,227505
4,1024,2,32,978.9327392578124,229582
512,1024,1,32,119.36563110351562,237415
8,64,2,1,467.3536071777344,238825
1024,1024,8,8,120.7408676147461,247095
256,512,2,32,68.37452697753906,252587
32,128,16,32,240.2058258056641,267773
16,512,2,32,315.6408386230469,286664
32,8,16,1,126.24588775634766,295118
4,32,1,8,876.4098510742188,296872
256,4,8,1,15.821824073791504,300211
512,1024,2,512,120.79923248291016,308714
8,128,1,32,466.9296569824219,310019
1024,8,256,2,7.2775678634643555,311733
16,4,1,4,252.4497985839844,326722
128,64,1,8,45.019134521484375,331261
16,256,2,32,315.5988464355469,349793
32,16,8,8,158.603271484375,359996
64,64,8,4,63.064064025878906,365596
1024,64,32,1,8.682496070861816,368609
256,256,64,4,42.7243537902832,372983
128,512,1,256,85.2674560546875,379317
256,1024,8,1,449.5196228027344,380785
512,1024,2,8,229.20909118652344,394494
64,512,1,512,119.16390228271484,402614
64,8,64,8,125.20243072509766,411245
1024,8,1,1,29.107200622558597,414423
128,1024,128,2,136.87808227539062,423823
256,64,16,1,22.588415145874023,426554
512,64,2,1,113.74694061279295,434520
64,128,16,8,79.3722915649414,440403
64,256,4,1,254.35443115234372,455811
1024,128,512,1,18.742271423339844,459088
2,1024,2,2,2050.375732421875,462005
64,64,4,16,79.03539276123047,467884
