tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,1024,1,32,178.05722045898438,0
256,32,8,8,20.118528366088867,3512
4,128,4,64,1193.83447265625,5662
64,1024,2,4,464.6543273925781,7279
256,1024,4,64,128.02252197265625,16079
1024,16,256,1,5.753856182098389,17782
1024,128,256,1,16.742399215698242,20335
128,8,32,4,41.99731063842773,24374
64,32,64,4,93.62329864501952,31192
128,128,2,8,44.812286376953125,35808
32,16,16,2,126.22950744628906,44804
256,64,128,4,30.093311309814453,48038
2,32,2,8,1688.82275390625,50647
1024,2,1,1,8.658944129943848,52700
1024,128,64,2,16.83558464050293,55008
16,8,1,8,252.42726135253903,70652
16,512,4,8,253.7635803222656,86166
512,1024,1,2,1776.01123046875,88774
128,512,2,512,98.21900939941406,96538
256,1024,32,32,145.06906127929688,106095
32,16,8,4,126.21414184570312,114942
32,1024,2,2,929.4448852539062,116925
32,32,32,8,188.1313323974609,128742
4,128,4,1,877.2761840820312,130514
256,128,2,128,29.94585609436035,133796
1024,32,1,1,112.35635375976562,141993
64,128,2,32,79.11219024658203,148109
128,256,1,8,127.34156799316406,157073
256,32,8,1,22.452224731445312,160310
128,4,128,4,63.08147048950195,165473
1024,512,4,256,59.55481719970703,170540
2,16,1,1,1687.64111328125,173210
512,32,16,16,12.059647560119627,175576
512,8,64,1,10.13657569885254,178123
32,512,8,16,157.96531677246094,188504
256,256,2,4,116.2956771850586,196634
16,64,8,4,252.38937377929688,211916
64,64,8,1,68.3663330078125,217480
512,32,64,1,10.147839546203612,220008
32,256,1,16,136.9477081298828,229312
16,512,2,1,1018.0219116210938,231240
256,512,4,4,116.3130874633789,239397
1,16,1,4,3318.27001953125,243775
16,64,16,16,373.7057189941406,265654
8,512,2,32,560.8294677734375,267103
32,8,32,4,162.14425659179688,277921
1024,512,1,32,58.606590270996094,283026
512,4,512,1,14.442496299743652,285355
8,32,4,8,467.57171630859375,286854
16,1024,2,8,356.95001220703125,307972
1024,2,1,2,5.724160194396973,309656
