A_CACHE_LCL,A_CACHE_PRV,B_CACHE_LCL,B_CACHE_PRV,C_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,runtime,Valid,timestamp
0,1,1,1,1,0,1,2,0,1,2,16,1,1,1,16,1,1000,4,5,10,1,5,2048,1,2048,1,1,1,3436544,True,53339
0,1,1,0,1,0,1,2,2,0,1,16,1,2,1,2,4,1000,1,250,1,4,1,2048,1,1,1,512,4,120220672,True,55275
1,0,0,0,1,1,0,2,1,2,0,16,2,1,1,4,2,1000,5,10,2,1,10,2048,1,16,1,32,4,5723136,True,56292
1,0,1,0,1,0,2,1,0,1,2,16,8,1,2,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,178176,True,57049
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,153600,True,57794
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,153600,True,58690
0,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,166912,True,59710
0,1,0,1,0,0,1,2,2,0,1,16,2,2,1,2,2,1000,10,10,2,1,5,2048,1,16,1,1,128,25997312,True,61124
1,0,1,1,0,0,1,2,1,2,0,16,2,8,1,1,1,1000,1,20,25,1,2,2048,1,2,1,256,4,9223372036854775807,False,62245
1,0,1,1,1,1,2,0,0,2,1,16,4,2,1,1,2,1000,50,1,5,4,1,2048,1,1,1,128,16,9223372036854775807,False,63190
0,1,1,0,0,2,0,1,0,2,1,16,1,1,1,8,2,1000,20,1,10,5,1,2048,1,8,1,16,16,9223372036854775807,False,64146
1,0,1,0,0,0,2,1,2,0,1,16,1,1,16,1,1,1000,5,1,8,5,5,2048,1,256,1,2,4,2551808,True,65404
1,1,1,0,0,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,147456,True,66387
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,256,1,2,4,155648,True,67306
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,10,2,2,2048,1,256,1,2,4,139264,True,68327
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,20,1,1,2048,1,1024,1,1,2,206848,True,69275
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,93184,True,70248
1,0,1,0,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,25,1,10,2,2,2048,1,256,1,1,8,116736,True,71421
1,0,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,10,2,2,2048,1,256,1,2,4,139264,True,72535
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,10,2,2,2048,1,256,1,2,4,139264,True,73544
0,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,96256,True,74520
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,95232,True,75359
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,91136,True,76465
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,1024,1,1,2,192512,True,77608
1,1,1,0,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,4,1,2,2048,1,256,1,2,4,106496,True,78599
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,91136,True,79555
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,91136,True,80512
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,91136,True,81629
1,1,1,0,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,8,1,1,2048,1,256,1,2,4,92160,True,82429
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,128,1,2,8,64512,True,83222
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,1,8,91136,True,84232
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,85275
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,128,1,4,4,64512,True,86443
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,128,1,2,8,64512,True,87377
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,4,1,2,2048,1,128,1,2,8,67584,True,88473
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,128,1,4,4,57344,True,89656
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,5,1,4,2048,1,32,1,8,8,66560,True,90688
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,5,2,4,2048,1,32,1,8,8,114688,True,91677
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,2,1,4,2048,1,128,1,4,4,74752,True,92688
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,256,1,2,4,91136,True,93599
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,94552
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,95426
1,1,1,0,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,10,1,4,2048,1,32,1,8,8,83968,True,96449
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,5,1,4,2048,1,32,1,8,8,82944,True,97829
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,4,1,2,2048,1,32,1,8,8,60416,True,99210
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,100291
1,0,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,49152,True,101286
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,64,1,4,8,68608,True,102463
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,5,1,4,2048,1,64,1,4,8,69632,True,103582
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,2,1,4,2048,1,32,1,8,8,64512,True,104676
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,2,32,49152,True,105528
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,50176,True,106607
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,41984,True,107700
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,109075
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,4,1,2,2048,1,32,1,8,8,46080,True,110328
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,500,1,2,1,1,2048,1,32,1,8,8,71680,True,111453
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,64,1,4,8,60416,True,112379
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,16,1,8,16,50176,True,113495
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,114519
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,10,1,50,1,2,2048,1,32,1,16,4,154624,True,115462
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,16,4,49152,True,116508
1,1,1,1,0,0,2,1,2,0,1,16,1,1,16,1,1,1000,125,1,8,1,1,2048,1,32,1,8,8,41984,True,117487
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,45056,True,118579
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,256,1,2,4,102400,True,119625
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,120658
1,1,1,1,1,0,2,1,2,0,1,16,1,1,4,4,1,1000,50,1,20,1,1,2048,1,32,1,8,8,56320,True,121476
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,10,2,1,2048,1,32,1,8,8,56320,True,122627
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,20,1,1,2048,1,32,1,8,8,48128,True,123850
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,250,1,4,1,1,2048,1,32,1,8,8,56320,True,124917
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,64,1,8,4,59392,True,126039
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,20,1,2,2048,1,32,1,8,8,82944,True,127190
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,5,2,50,1,2,2048,1,32,1,8,8,214016,True,128391
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,129941
1,0,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,10,1,50,1,2,2048,1,32,1,8,8,108544,True,131158
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,256,1,2,4,101376,True,131991
0,1,0,1,0,1,0,2,0,1,2,16,2,1,8,1,1,1000,4,50,5,1,1,2048,1,32,1,4,16,8315903,True,133384
1,1,1,1,1,1,0,2,2,0,1,16,8,1,2,1,1,1000,5,40,5,1,1,2048,1,2,1,1,1024,4401152,True,134742
1,1,0,0,1,1,0,2,0,2,1,16,2,1,1,8,1,1000,2,250,1,1,2,2048,1,2048,1,1,1,100355072,True,136525
1,1,0,0,1,1,0,2,0,2,1,16,2,4,1,2,1,1000,1,50,2,2,5,2048,1,32,1,4,16,38193152,True,137546
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,20,1,50,1,1,2048,1,32,1,4,16,115712,True,138396
0,1,1,0,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,92160,True,139237
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,140368
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,10,1,2,2048,1,32,1,8,8,53248,True,141398
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,50,1,20,1,1,2048,1,32,1,8,8,46080,True,142339
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,143377
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,10,1,2,2048,1,32,1,8,8,53248,True,144582
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,145660
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,146790
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,10,1,2,2048,1,16,1,8,16,62464,True,147988
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,45056,True,149291
1,1,1,1,1,0,2,1,2,0,1,16,1,1,16,1,1,1000,25,1,20,1,2,2048,1,32,1,8,8,80896,True,150549
0,1,0,1,0,2,0,1,0,2,1,16,1,1,2,1,8,1000,1,2,2,1,250,2048,1,64,1,4,8,179028992,True,153946
1,1,1,1,0,2,0,1,2,0,1,16,2,8,1,1,1,1000,5,10,1,20,1,2048,1,1,1,512,4,9223372036854775807,False,155193
1,0,1,1,1,1,0,2,1,0,2,16,1,2,1,1,8,1000,10,10,1,10,1,2048,1,32,1,2,32,26715136,True,157436
1,1,1,1,0,2,0,1,0,2,1,16,4,1,2,2,1,1000,1,1,2,1,500,2048,1,2,1,2,512,9223372036854775807,False,162256
0,1,1,1,0,2,0,1,2,1,0,16,1,1,2,1,8,1000,1,5,5,1,40,2048,1,2,1,1024,1,9223372036854775807,False,163331
0,0,0,0,1,2,0,1,0,1,2,16,4,2,2,1,1,1000,10,5,10,1,2,2048,1,1,1,32,64,1250304,True,164327
1,1,0,0,0,0,2,1,2,1,0,16,1,2,2,2,2,1000,1,20,5,5,2,2048,1,32,1,32,2,81717248,True,166139
0,0,1,1,1,2,0,1,2,0,1,16,1,1,1,1,16,1000,1,5,2,4,25,2048,1,1,1,1024,2,9223372036854775807,False,167151
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,168106
1,1,1,1,1,0,2,1,2,0,1,16,1,1,4,4,1,1000,20,1,50,1,1,2048,1,32,1,8,8,77824,True,169080
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,125,1,8,1,1,2048,1,32,1,8,8,51200,True,170186
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,171429
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,172511
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,173819
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,174940
1,1,1,1,1,0,1,2,1,0,2,16,1,1,8,2,1,1000,50,1,20,1,1,2048,1,32,1,8,8,40960,True,176194
1,1,1,1,1,0,2,1,2,0,1,16,1,1,8,2,1,1000,50,1,10,1,2,2048,1,32,1,8,8,53248,True,177092
