tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
2,512,2,512,122.6803207397461,True,0
512,512,64,8,2.0838398933410645,True,2414
1024,1,1024,1,610.9839477539062,True,4423
1024,1024,1024,1,4.621312141418457,True,6936
256,512,1,4,3.860480070114136,True,9389
1024,128,1024,1,11.122688293457031,True,12147
1024,2,1024,1,305.82989501953125,True,13975
512,1024,128,1,1.2093440294265747,True,16267
512,64,512,2,12.17024040222168,True,19134
8,16,8,2,247.02464294433597,True,20835
1024,4,512,1,159.68666076660156,True,22479
4,16,1,8,487.7055969238281,True,24493
512,128,128,8,7.059455871582031,True,27035
128,64,32,32,14.1015043258667,True,29922
512,1024,32,16,1.183743953704834,True,32249
32,16,16,2,62.59097671508789,True,37721
128,1024,4,16,1.1816960573196411,True,40015
512,2,512,1,306.271240234375,True,41778
512,1024,256,2,1.9322880506515503,True,44015
1024,32,8,32,25.439231872558597,True,47565
128,256,2,32,3.7560319900512695,True,50167
64,8,2,1,50.67366409301758,True,55046
512,256,4,1,5.033984184265137,True,57701
8,256,2,32,27.55379295349121,True,61318
32,1024,32,8,2.041856050491333,True,63702
2,512,1,2,37.409793853759766,True,67831
128,512,128,8,1.990656018257141,True,70085
8,16,2,8,251.11859130859372,True,71771
256,16,256,2,47.72351837158203,True,76765
1024,128,128,2,6.765567779541016,True,79436
64,128,32,32,7.2325119972229,True,81959
128,512,4,1,3.737600088119507,True,84360
1024,512,1024,1,4.612095832824707,True,86789
1024,64,256,2,13.181952476501465,True,89740
512,16,256,4,49.36806488037109,True,94487
1024,4,1024,1,159.37330627441406,True,96277
1024,1024,64,8,1.16428804397583,True,98545
64,4,16,2,121.7064971923828,True,100153
512,64,64,4,12.55731201171875,True,103050
1024,2,256,1,307.01873779296875,True,104799
512,128,2,8,4.542463779449463,True,107252
1024,32,16,8,24.821760177612305,True,110781
4,128,4,1,65.22982025146484,True,116470
256,1024,2,512,2.476032018661499,True,118709
128,4,2,4,114.81292724609376,True,120452
256,64,256,4,12.951552391052246,True,123291
16,256,16,64,15.80134391784668,True,126319
1024,32,128,4,24.96102333068848,True,130062
512,512,128,4,2.0776960849761963,True,132528
1024,4,512,2,186.71002197265625,True,134219
128,32,8,32,25.44025611877441,True,137741
512,32,512,2,24.426496505737305,True,141224
1024,4,64,4,191.1654357910156,True,142861
4,512,4,128,31.40096092224121,True,146662
2,256,2,128,122.92198181152344,True,148210
32,8,16,1,117.77843475341795,True,149831
